Format Version,1.23,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,
,ID,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,
0,0,-131.137527,-52.373447,138.024399,1.07424,0.107085,0.414609,0.000622,
1,0.002778,-131.146378,-52.34454,138.061035,1.074158,0.10706,0.414689,0.000622,
2,0.005556,,,,,,,,
3,0.008333,-131.142151,-52.325081,138.085052,1.07412,0.107055,0.414718,0.000628,
4,0.011111,,,,,,,,
5,0.013889,,,,,,,,
6,0.016667,-131.144928,-52.413525,137.993668,1.074284,0.107086,0.414591,0.000626,
7,0.019444,-131.153412,-52.343292,138.047516,1.074152,0.107067,0.414678,0.00062,
8,0.022222,,,,,,,,
9,0.025,-131.126785,-52.307396,138.093185,1.074067,0.107053,0.414704,0.000631,
10,0.027778,,,,,,,,
11,0.030556,,,,,,,,
12,0.033333,-131.151962,-52.383228,138.025696,1.074195,0.107057,0.414647,0.000612,
13,0.036111,,,,,,,,
14,0.038889,-131.15744,-52.360153,138.039978,1.07418,0.107068,0.414669,0.000626,
15,0.041667,-131.135559,-52.30629,138.079956,1.074099,0.107069,0.414676,0.000631,
16,0.044444,,,,,,,,
17,0.047222,,,,,,,,
18,0.05,-131.153915,-52.370735,138.034103,1.074209,0.107068,0.414642,0.00062,
