Format Version,1.23,Take Name,LeftSide_b_003,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-12 02.43.26.771 PM,Capture Start Frame,2139539,Total Frames in Take,1064,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,
0,0.000000,,,,,,,
1,0.002778,66.710243,-6.979167,-86.849854,3.138950,0.110111,1.747196,0.001357
2,0.005556,,,,,,,
3,0.008333,,,,,,,
4,0.011111,66.713631,-6.923288,-86.857231,3.139142,0.110086,1.747144,0.001349
5,0.013889,,,,,,,
6,0.016667,,,,,,,
7,0.019444,66.714859,-6.965316,-86.898888,3.139191,0.110094,1.747119,0.001375
8,0.022222,,,,,,,
9,0.025000,,,,,,,
10,0.027778,66.709869,-7.057174,-86.904388,3.139197,0.110114,1.747132,0.001386
11,0.030556,,,,,,,
12,0.033333,,,,,,,
13,0.036111,66.728569,-7.301893,-87.027367,3.138970,0.110099,1.747083,0.001392
14,0.038889,,,,,,,
15,0.041667,,,,,,,
16,0.044444,66.686989,-7.359191,-87.050583,3.138975,0.110101,1.747127,0.001397
17,0.047222,,,,,,,
18,0.050000,,,,,,,
19,0.052778,66.686134,-7.369470,-87.095116,3.139072,0.110084,1.747053,0.001426
20,0.055556,,,,,,,
21,0.058333,,,,,,,
22,0.061111,66.683670,-7.674225,-87.247314,3.138713,0.109973,1.747050,0.001442
23,0.063889,,,,,,,
24,0.066667,,,,,,,
25,0.069444,,,,,,,
26,0.072222,,,,,,,
27,0.075000,,,,,,,
28,0.077778,,,,,,,
29,0.080556,66.672234,-7.775512,-87.271965,3.138800,0.109973,1.746972,0.001451
30,0.083333,,,,,,,
31,0.086111,,,,,,,
32,0.088889,,,,,,,
33,0.091667,,,,,,,
34,0.094444,,,,,,,
35,0.097222,66.620979,-7.798625,-87.258949,3.138935,0.109988,1.746973,0.001448
36,0.100000,,,,,,,
37,0.102778,66.602676,-7.697788,-87.170204,3.139199,0.110060,1.746972,0.001445
38,0.105556,,,,,,,
39,0.108333,66.572235,-7.888111,-87.240372,3.138934,0.109980,1.747024,0.001486
40,0.111111,,,,,,,
41,0.113889,,,,,,,
42,0.116667,66.572945,-7.813806,-87.204903,3.139179,0.110039,1.746968,0.001487
43,0.119444,,,,,,,
44,0.122222,,,,,,,
45,0.125000,66.521225,-8.080484,-87.144653,3.138882,0.109943,1.747110,0.001528
46,0.127778,,,,,,,
47,0.130556,66.462967,-8.064943,-87.066818,3.139000,0.109937,1.747221,0.001390
48,0.133333,,,,,,,
49,0.136111,,,,,,,
50,0.138889,66.444839,-8.079625,-87.058289,3.139051,0.109924,1.747209,0.001401
51,0.141667,,,,,,,
52,0.144444,,,,,,,
53,0.147222,66.426292,-8.115867,-87.048828,3.139095,0.109918,1.747187,0.001418
54,0.150000,,,,,,,
55,0.152778,,,,,,,
56,0.155556,66.425705,-8.159445,-87.082779,3.139086,0.109902,1.747127,0.001387
57,0.158333,,,,,,,
58,0.161111,66.406326,-8.184772,-87.088181,3.139100,0.109905,1.747114,0.001386
59,0.163889,66.398529,-8.168352,-87.063095,3.139167,0.109897,1.747133,0.001403
60,0.166667,,,,,,,
61,0.169444,,,,,,,
62,0.172222,,,,,,,
63,0.175000,66.373062,-8.219356,-87.091431,3.139163,0.109909,1.747076,0.001384
64,0.177778,,,,,,,
65,0.180556,66.358528,-8.200256,-87.085243,3.139226,0.109884,1.747095,0.001396
66,0.183333,,,,,,,
67,0.186111,66.376106,-8.237030,-87.078362,3.139230,0.109887,1.747032,0.001389
68,0.188889,,,,,,,
69,0.191667,66.350555,-8.214150,-87.053596,3.139289,0.109866,1.747061,0.001402
70,0.194444,,,,,,,
71,0.197222,66.350189,-8.227913,-87.062279,3.139298,0.109858,1.747032,0.001394
72,0.200000,,,,,,,
73,0.202778,66.345871,-8.250422,-87.081474,3.139313,0.109899,1.747030,0.001385
74,0.205556,,,,,,,
75,0.208333,66.328491,-8.261169,-87.094643,3.139291,0.109892,1.747017,0.001379
76,0.211111,,,,,,,
77,0.213889,66.294304,-8.245378,-87.080818,3.139361,0.109856,1.747063,0.001388
78,0.216667,66.320015,-8.274542,-87.082596,3.139328,0.109861,1.747018,0.001376
79,0.219444,,,,,,,
80,0.222222,66.332787,-8.277439,-87.071098,3.139340,0.109871,1.746968,0.001379
81,0.225000,66.323433,-8.264972,-87.149986,3.139253,0.109908,1.747416,0.001433
82,0.227778,,,,,,,
83,0.230556,66.301933,-8.263184,-87.063126,3.139380,0.109871,1.746986,0.001390
84,0.233333,,,,,,,
85,0.236111,66.299751,-8.286837,-87.071106,3.139357,0.109876,1.746976,0.001373
86,0.238889,,,,,,,
87,0.241667,66.283035,-8.264984,-87.056038,3.139393,0.109873,1.746990,0.001409
88,0.244444,66.301170,-8.294883,-87.085068,3.139344,0.109877,1.746928,0.001386
89,0.247222,,,,,,,
90,0.250000,66.293739,-8.298410,-87.098991,3.139344,0.109892,1.746933,0.001378
91,0.252778,,,,,,,
92,0.255556,66.280479,-8.282368,-87.066185,3.139400,0.109871,1.746951,0.001382
93,0.258333,66.282692,-8.264108,-87.064781,3.139405,0.109846,1.746953,0.001399
94,0.261111,,,,,,,
95,0.263889,66.289856,-8.304944,-87.086655,3.139353,0.109867,1.746920,0.001388
96,0.266667,66.279510,-8.291489,-87.088417,3.139339,0.109863,1.746926,0.001380
97,0.269444,,,,,,,
98,0.272222,66.283203,-8.267880,-87.058022,3.139408,0.109865,1.746946,0.001401
99,0.275000,,,,,,,
100,0.277778,66.262047,-8.243767,-87.056557,3.139431,0.109861,1.746974,0.001393
101,0.280556,66.277779,-8.278821,-87.068619,3.139375,0.109871,1.746973,0.001408
102,0.283333,,,,,,,
103,0.286111,66.265564,-8.261557,-87.069267,3.139388,0.109863,1.746969,0.001371
104,0.288889,,,,,,,
105,0.291667,66.285530,-8.280692,-87.066589,3.139353,0.109870,1.746939,0.001377
106,0.294444,,,,,,,
