Format Version,1.23,Take Name,LeftSide_d_004,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-12 02.44.51.897 PM,Capture Start Frame,2170184,Total Frames in Take,1034,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,
0,0.000000,-145.442810,47.371231,63.399830,3.068048,0.109290,1.333541,0.001027
1,0.002778,,,,,,,
2,0.005556,,,,,,,
3,0.008333,,,,,,,
4,0.011111,,,,,,,
5,0.013889,,,,,,,
6,0.016667,,,,,,,
7,0.019444,-145.935394,47.656933,64.880394,3.067559,0.108819,1.336828,0.001202
8,0.022222,-145.701767,47.650024,65.105324,3.067547,0.108977,1.337275,0.001220
9,0.025000,-145.455750,47.603748,65.244881,3.067539,0.109063,1.337664,0.001258
10,0.027778,-144.647034,47.535332,64.964867,3.067844,0.109338,1.337638,0.001326
11,0.030556,,,,,,,
12,0.033333,-144.773987,47.638229,65.111008,3.068021,0.108922,1.338772,0.001318
13,0.036111,-144.511169,47.665024,65.040901,3.068246,0.108915,1.339131,0.001310
14,0.038889,-144.442520,47.654068,65.205521,3.068192,0.108962,1.339501,0.001342
15,0.041667,,,,,,,
16,0.044444,-144.420013,47.615234,65.925972,3.067651,0.109323,1.340605,0.001042
17,0.047222,-144.137863,47.674934,65.913124,3.067846,0.109369,1.340934,0.000936
18,0.050000,,,,,,,
19,0.052778,-143.762787,47.743168,65.995674,3.068137,0.109417,1.341773,0.000926
20,0.055556,,,,,,,
21,0.058333,,,,,,,
22,0.061111,,,,,,,
23,0.063889,-143.070801,47.742107,66.127663,3.068631,0.109269,1.343145,0.001198
24,0.066667,,,,,,,
25,0.069444,,,,,,,
26,0.072222,-142.805130,47.922489,66.619453,3.068442,0.109352,1.344560,0.000983
27,0.075000,,,,,,,
28,0.077778,-142.505188,47.913742,66.669434,3.068726,0.109373,1.345431,0.000930
29,0.080556,,,,,,,
30,0.083333,-141.961258,47.850330,66.426147,3.069286,0.109298,1.346205,0.000977
31,0.086111,,,,,,,
32,0.088889,,,,,,,
33,0.091667,,,,,,,
34,0.094444,,,,,,,
35,0.097222,,,,,,,
36,0.100000,-142.100266,48.046066,67.309105,3.069238,0.108572,1.349019,0.001161
37,0.102778,,,,,,,
38,0.105556,,,,,,,
39,0.108333,,,,,,,
40,0.111111,-142.319809,47.847252,67.688599,3.069525,0.107915,1.351992,0.001099
41,0.113889,,,,,,,
42,0.116667,,,,,,,
43,0.119444,,,,,,,
44,0.122222,-141.183517,47.937225,67.930290,3.069483,0.108122,1.352809,0.000842
45,0.125000,,,,,,,
46,0.127778,,,,,,,
47,0.130556,,,,,,,
48,0.133333,,,,,,,
49,0.136111,,,,,,,
50,0.138889,,,,,,,
51,0.141667,,,,,,,
52,0.144444,-139.585892,48.296257,67.975319,3.070488,0.108043,1.355625,0.001147
53,0.147222,,,,,,,
54,0.150000,-139.221512,48.375000,68.129822,3.070783,0.108093,1.356416,0.000904
55,0.152778,,,,,,,
56,0.155556,-138.219543,48.566395,67.996361,3.070903,0.108528,1.356384,0.000834
57,0.158333,,,,,,,
58,0.161111,,,,,,,
59,0.163889,,,,,,,
60,0.166667,,,,,,,
61,0.169444,,,,,,,
62,0.172222,,,,,,,
63,0.175000,-137.128265,48.722290,68.451736,3.071396,0.108417,1.359286,0.001098
64,0.177778,,,,,,,
65,0.180556,,,,,,,
66,0.183333,,,,,,,
67,0.186111,,,,,,,
68,0.188889,,,,,,,
69,0.191667,,,,,,,
70,0.194444,,,,,,,
71,0.197222,,,,,,,
72,0.200000,-135.574631,48.772461,68.873466,3.071834,0.108670,1.362839,0.001206
73,0.202778,,,,,,,
74,0.205556,-134.382385,49.054920,68.066261,3.072852,0.108380,1.363218,0.000966
75,0.208333,,,,,,,
76,0.211111,,,,,,,
77,0.213889,-133.839691,48.818882,68.220024,3.073110,0.108275,1.364466,0.000906
78,0.216667,,,,,,,
79,0.219444,-133.475327,48.875626,68.287643,3.073217,0.108365,1.365347,0.000912
80,0.222222,-133.227036,48.904072,68.258446,3.073293,0.108367,1.365677,0.000930
81,0.225000,-132.999954,48.953163,68.317772,3.073329,0.108403,1.366018,0.000914
82,0.227778,,,,,,,
83,0.230556,-132.537155,49.031578,68.328415,3.073458,0.108531,1.366754,0.000883
84,0.233333,,,,,,,
85,0.236111,,,,,,,
86,0.238889,,,,,,,
87,0.241667,-131.827774,49.044773,68.382957,3.073772,0.108575,1.368181,0.000927
88,0.244444,,,,,,,
89,0.247222,-131.717377,48.922115,68.472061,3.073948,0.108506,1.369010,0.000914
90,0.250000,,,,,,,
91,0.252778,-131.042297,49.082600,68.332817,3.074046,0.108503,1.369637,0.000875
92,0.255556,,,,,,,
93,0.258333,,,,,,,
94,0.261111,-130.728302,49.183723,68.712517,3.073953,0.108459,1.370706,0.000907
95,0.263889,,,,,,,
96,0.266667,,,,,,,
97,0.269444,-130.689453,49.140350,69.140472,3.073963,0.108525,1.371749,0.000988
98,0.272222,,,,,,,
99,0.275000,-130.313324,49.074116,68.973228,3.074172,0.108490,1.372462,0.000922
100,0.277778,,,,,,,
101,0.280556,-128.896988,49.300560,68.385246,3.074607,0.108526,1.373200,0.001023
102,0.283333,,,,,,,
103,0.286111,,,,,,,
104,0.288889,,,,,,,
105,0.291667,-128.747070,49.470959,68.619797,3.074450,0.108813,1.374490,0.001059
106,0.294444,,,,,,,
107,0.297222,,,,,,,
108,0.300000,-127.576828,49.499443,68.460640,3.074985,0.108692,1.375743,0.001031
109,0.302778,,,,,,,
110,0.305556,,,,,,,
111,0.308333,,,,,,,
112,0.311111,,,,,,,
113,0.313889,,,,,,,
114,0.316667,,,,,,,
115,0.319444,,,,,,,
116,0.322222,-127.684662,49.196152,69.389938,3.074495,0.108537,1.378379,0.001032
117,0.325000,,,,,,,
118,0.327778,-127.278114,49.333347,69.367767,3.074638,0.108559,1.379302,0.000930
119,0.330556,,,,,,,
