Format Version,1.23,Take Name,TopSide_d_004,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-12 02.48.38.576 PM,Capture Start Frame,2251788,Total Frames in Take,1027,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,
0,0.000000,,,,,,,
1,0.002778,-176.455170,-6.166239,51.599834,2.087016,0.110407,0.227157,0.001156
2,0.005556,-176.429047,-5.914453,51.615646,2.086803,0.110379,0.226936,0.001226
3,0.008333,,,,,,,
4,0.011111,-176.437210,-6.063965,51.557663,2.086945,0.110406,0.227071,0.001123
5,0.013889,,,,,,,
6,0.016667,-176.392059,-5.946762,51.621372,2.086831,0.110349,0.226900,0.001202
7,0.019444,,,,,,,
8,0.022222,-176.403854,-5.916829,51.656094,2.086745,0.110322,0.226932,0.001195
9,0.025000,,,,,,,
10,0.027778,-176.395157,-5.865416,51.628002,2.086734,0.110387,0.226909,0.001245
11,0.030556,,,,,,,
12,0.033333,-175.334503,-5.561194,52.904430,2.084659,0.109427,0.225474,0.001038
13,0.036111,,,,,,,
14,0.038889,-175.398071,-5.463865,53.003284,2.084447,0.109315,0.225700,0.001091
15,0.041667,,,,,,,
16,0.044444,,,,,,,
17,0.047222,,,,,,,
18,0.050000,-176.419983,-5.930994,51.579681,2.086825,0.110494,0.227052,0.001149
19,0.052778,-176.234299,-5.867999,51.581581,2.086823,0.110362,0.226594,0.001212
20,0.055556,-176.451447,-5.870191,51.546036,2.086851,0.110511,0.227135,0.001166
21,0.058333,-176.253082,-5.830316,51.556507,2.086834,0.110403,0.226631,0.001237
22,0.061111,-176.380219,-5.884441,51.637360,2.086765,0.110397,0.227039,0.001155
23,0.063889,-176.436874,-5.882974,51.616722,2.086809,0.110429,0.227105,0.001159
24,0.066667,-176.422073,-5.880945,51.615948,2.086806,0.110413,0.227090,0.001164
25,0.069444,-176.285538,-5.737048,51.719589,2.086616,0.110282,0.226715,0.001208
26,0.072222,-176.253967,-5.773835,51.668457,2.086684,0.110300,0.226633,0.001205
27,0.075000,-176.272797,-5.748509,51.697880,2.086656,0.110289,0.226690,0.001202
28,0.077778,,,,,,,
29,0.080556,,,,,,,
30,0.083333,-176.382065,-5.939040,51.633175,2.086795,0.110385,0.227007,0.001149
31,0.086111,-176.401688,-5.904712,51.636803,2.086768,0.110413,0.227060,0.001154
32,0.088889,-176.432785,-5.900729,51.637478,2.086776,0.110433,0.227061,0.001155
33,0.091667,-176.268707,-5.782985,51.690514,2.086679,0.110296,0.226659,0.001205
34,0.094444,-176.281357,-5.763333,51.663479,2.086686,0.110297,0.226692,0.001219
35,0.097222,,,,,,,
36,0.100000,-176.224518,-5.752629,51.708012,2.086654,0.110279,0.226624,0.001210
37,0.102778,-176.311295,-5.762217,51.654602,2.086721,0.110333,0.226718,0.001247
38,0.105556,-176.384186,-5.885458,51.629063,2.086778,0.110394,0.227015,0.001141
39,0.108333,-176.275085,-5.746026,51.719280,2.086633,0.110255,0.226699,0.001203
40,0.111111,,,,,,,
41,0.113889,-176.299271,-5.703661,51.725437,2.086583,0.110275,0.226749,0.001223
42,0.116667,,,,,,,
43,0.119444,-176.455246,-5.873372,51.594719,2.086835,0.110430,0.227130,0.001165
44,0.122222,-176.276672,-5.754508,51.683571,2.086666,0.110283,0.226673,0.001217
45,0.125000,-176.289368,-5.766847,51.658997,2.086708,0.110305,0.226699,0.001243
46,0.127778,-176.474609,-5.846129,51.631500,2.086771,0.110407,0.227135,0.001162
47,0.130556,-176.263428,-5.759247,51.690895,2.086667,0.110264,0.226637,0.001205
48,0.133333,,,,,,,
49,0.136111,-176.266327,-5.799212,51.663818,2.086724,0.110287,0.226618,0.001204
50,0.138889,-176.399506,-5.881876,51.634300,2.086791,0.110280,0.226959,0.001075
51,0.141667,,,,,,,
52,0.144444,-176.282440,-5.657759,51.799278,2.086496,0.110210,0.226754,0.001208
53,0.147222,,,,,,,
54,0.150000,-176.283096,-5.740383,51.683369,2.086634,0.110317,0.226691,0.001259
55,0.152778,-176.397034,-5.910664,51.646301,2.086797,0.110288,0.226942,0.001066
56,0.155556,,,,,,,
57,0.158333,-176.269287,-5.815579,51.672108,2.086725,0.110288,0.226602,0.001203
58,0.161111,-176.447037,-5.901201,51.599499,2.086831,0.110410,0.227068,0.001161
59,0.163889,-176.297226,-5.746747,51.692390,2.086672,0.110279,0.226694,0.001225
60,0.166667,,,,,,,
61,0.169444,-176.285461,-5.738404,51.699844,2.086596,0.110294,0.226674,0.001249
62,0.172222,,,,,,,
63,0.175000,,,,,,,
64,0.177778,-176.266022,-5.796274,51.683941,2.086688,0.110265,0.226608,0.001199
65,0.180556,-176.453110,-5.875640,51.619270,2.086800,0.110414,0.227056,0.001150
66,0.183333,-176.277954,-5.767630,51.688633,2.086685,0.110260,0.226657,0.001202
67,0.186111,,,,,,,
68,0.188889,,,,,,,
69,0.191667,-176.410858,-5.872902,51.674641,2.086727,0.110270,0.226950,0.001058
70,0.194444,,,,,,,
71,0.197222,-176.310593,-5.731438,51.690529,2.086623,0.110313,0.226697,0.001256
72,0.200000,,,,,,,
73,0.202778,-176.302368,-5.774072,51.673748,2.086708,0.110285,0.226673,0.001219
74,0.205556,,,,,,,
75,0.208333,-176.445496,-5.894813,51.643742,2.086769,0.110382,0.227059,0.001145
76,0.211111,-176.299057,-5.660038,51.813416,2.086468,0.110225,0.226760,0.001218
77,0.213889,,,,,,,
78,0.216667,-176.429291,-5.884245,51.635777,2.086783,0.110377,0.227048,0.001147
79,0.219444,-176.247635,-5.770925,51.700912,2.086652,0.110257,0.226567,0.001178
80,0.222222,,,,,,,
81,0.225000,,,,,,,
82,0.227778,-176.266632,-5.783267,51.682949,2.086699,0.110272,0.226597,0.001207
83,0.230556,,,,,,,
84,0.233333,-176.370605,-5.935512,51.656521,2.086768,0.110338,0.226929,0.001151
85,0.236111,-176.459549,-5.881258,51.619640,2.086816,0.110401,0.227081,0.001164
