Format Version,1.23,Take Name,BotSide_a_003,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-12 02.54.35.066 PM,Capture Start Frame,2380123,Total Frames in Take,1178,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,
0,0.000000,159.445389,-55.354595,-157.596191,2.912983,0.103910,0.098061,0.000919
1,0.002778,,,,,,,
2,0.005556,,,,,,,
3,0.008333,158.455383,-55.405231,-158.058563,2.911063,0.103860,0.097864,0.000914
4,0.011111,,,,,,,
5,0.013889,,,,,,,
6,0.016667,,,,,,,
7,0.019444,157.218018,-55.432110,-159.254395,2.908664,0.104098,0.097373,0.000860
8,0.022222,,,,,,,
9,0.025000,,,,,,,
10,0.027778,156.281921,-55.370670,-160.248032,2.907335,0.104073,0.097184,0.000994
11,0.030556,,,,,,,
12,0.033333,,,,,,,
13,0.036111,,,,,,,
14,0.038889,153.909912,-54.672234,-162.724396,2.906355,0.103505,0.096900,0.000811
15,0.041667,,,,,,,
16,0.044444,153.326645,-54.560539,-163.299225,2.905566,0.103428,0.096687,0.000776
17,0.047222,,,,,,,
18,0.050000,,,,,,,
19,0.052778,152.620941,-54.346039,-164.088745,2.904388,0.103494,0.096360,0.000768
20,0.055556,152.183624,-54.066864,-164.515686,2.904376,0.103065,0.096280,0.000816
21,0.058333,,,,,,,
22,0.061111,151.753494,-53.993153,-165.018890,2.903591,0.103061,0.096131,0.001034
23,0.063889,151.629333,-53.932461,-165.205124,2.903126,0.103165,0.095914,0.001069
24,0.066667,151.493546,-53.901741,-165.212692,2.902764,0.103229,0.096004,0.001000
25,0.069444,,,,,,,
26,0.072222,150.929367,-53.930634,-165.723206,2.902008,0.103189,0.096190,0.001191
27,0.075000,,,,,,,
28,0.077778,149.683609,-53.316238,-167.126068,2.901464,0.103071,0.095927,0.000924
29,0.080556,150.252792,-53.509953,-166.503281,2.901100,0.103154,0.095816,0.001115
30,0.083333,151.998413,-53.692123,-165.853439,2.899981,0.102788,0.093781,0.001010
31,0.086111,,,,,,,
32,0.088889,151.067825,-53.687389,-166.206772,2.899508,0.103312,0.094619,0.001047
33,0.091667,151.219604,-53.719833,-166.454391,2.899164,0.103197,0.093838,0.000939
34,0.094444,,,,,,,
35,0.097222,150.824799,-53.539719,-167.189362,2.898579,0.103359,0.093293,0.001026
36,0.100000,148.762604,-53.175110,-168.191391,2.899106,0.103264,0.095430,0.001061
37,0.102778,148.459076,-53.023716,-168.485260,2.898938,0.103210,0.095414,0.001062
38,0.105556,148.500793,-53.452915,-168.492218,2.898246,0.103405,0.095554,0.001209
39,0.108333,148.408295,-52.928608,-168.585144,2.898401,0.103256,0.095227,0.001018
40,0.111111,148.100494,-52.829937,-168.865143,2.898223,0.103218,0.095291,0.001004
41,0.113889,147.212067,-52.158432,-169.502716,2.898783,0.102771,0.095694,0.000860
42,0.116667,147.090164,-52.368977,-169.784180,2.898228,0.102834,0.095641,0.000917
43,0.119444,147.155762,-52.534168,-169.882217,2.897713,0.102950,0.095437,0.000919
44,0.122222,,,,,,,
45,0.125000,147.384644,-52.716167,-169.700348,2.896915,0.103326,0.095318,0.000758
46,0.127778,,,,,,,
47,0.130556,146.549179,-52.506783,-170.629486,2.896762,0.102972,0.095371,0.000855
48,0.133333,146.891022,-52.513470,-170.264832,2.896399,0.103236,0.095218,0.000724
49,0.136111,,,,,,,
50,0.138889,146.831482,-52.490078,-170.330429,2.895812,0.103210,0.095092,0.000649
51,0.141667,145.956558,-52.242409,-171.377747,2.895992,0.102836,0.095219,0.000798
52,0.144444,,,,,,,
53,0.147222,145.573578,-51.934746,-171.814301,2.895849,0.102785,0.095181,0.000804
54,0.150000,145.459900,-51.910553,-171.927170,2.895638,0.102778,0.095256,0.000794
55,0.152778,145.336655,-51.888775,-172.087021,2.895467,0.102772,0.095255,0.000796
56,0.155556,146.253036,-52.532505,-171.246979,2.894407,0.103369,0.095210,0.000855
57,0.158333,144.658340,-51.306862,-172.575760,2.895985,0.102395,0.095756,0.000686
58,0.161111,,,,,,,
59,0.163889,145.173157,-51.916840,-172.592499,2.894655,0.102790,0.095042,0.000880
60,0.166667,145.135925,-51.874126,-172.701859,2.894503,0.102845,0.094964,0.000913
61,0.169444,144.987900,-51.781338,-172.854843,2.894383,0.102804,0.095002,0.000938
62,0.172222,145.326080,-51.974186,-172.545532,2.893806,0.102942,0.094824,0.001020
63,0.175000,145.233032,-51.923462,-172.641891,2.893674,0.102957,0.094881,0.001037
64,0.177778,145.171326,-51.894444,-172.735260,2.893543,0.102975,0.094879,0.001076
65,0.180556,144.988068,-51.835613,-172.887787,2.893398,0.102883,0.095032,0.001080
66,0.183333,145.354523,-52.325378,-172.374252,2.892581,0.103445,0.095397,0.001102
67,0.186111,144.765366,-51.733398,-173.146301,2.893139,0.102922,0.095125,0.001079
68,0.188889,144.702103,-51.574753,-173.257080,2.893060,0.102925,0.095045,0.001120
69,0.191667,,,,,,,
70,0.194444,144.770004,-51.694332,-173.066055,2.892538,0.103190,0.095329,0.001025
71,0.197222,,,,,,,
72,0.200000,,,,,,,
73,0.202778,,,,,,,
74,0.205556,144.060883,-51.497387,-173.561417,2.892045,0.102726,0.095911,0.000979
75,0.208333,143.991165,-51.347813,-173.670258,2.892158,0.102722,0.095989,0.000983
76,0.211111,,,,,,,
77,0.213889,143.824249,-51.107201,-173.936066,2.892154,0.102718,0.096009,0.001030
78,0.216667,,,,,,,
79,0.219444,,,,,,,
80,0.222222,143.620789,-50.891129,-174.292694,2.892069,0.102703,0.096094,0.001075
81,0.225000,,,,,,,
82,0.227778,,,,,,,
83,0.230556,143.436371,-50.850044,-174.551163,2.891717,0.102588,0.096258,0.001091
84,0.233333,,,,,,,
85,0.236111,143.470932,-50.523167,-174.659424,2.892096,0.102696,0.096316,0.001112
86,0.238889,,,,,,,
87,0.241667,,,,,,,
88,0.244444,143.393265,-51.497829,-175.048172,2.890579,0.103054,0.096583,0.001119
