Format Version,1.23,Take Name,BotSide_b_003,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-12 02.54.46.866 PM,Capture Start Frame,2384371,Total Frames in Take,1006,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,
0,0.000000,-157.786667,11.816379,60.108936,3.679188,0.107717,-0.055081,0.001309
1,0.002778,-157.795853,11.613130,59.934734,3.679577,0.107403,-0.055035,0.001268
2,0.005556,-157.984512,11.634914,60.030979,3.679492,0.107481,-0.054969,0.001223
3,0.008333,-158.860519,12.528068,60.233070,3.678942,0.108166,-0.055151,0.001335
4,0.011111,-159.282028,12.877371,60.669266,3.678268,0.108897,-0.055171,0.001289
5,0.013889,-160.180161,13.835680,61.373615,3.676720,0.110794,-0.055170,0.001207
6,0.016667,-160.632385,14.507088,62.180874,3.675673,0.111800,-0.055821,0.001327
7,0.019444,-161.223236,15.054939,62.522144,3.674882,0.112878,-0.055872,0.001278
8,0.022222,-161.667419,15.530136,62.984871,3.674102,0.113781,-0.056200,0.001311
9,0.025000,-162.237457,16.114025,63.648674,3.673018,0.114957,-0.056542,0.001306
10,0.027778,-162.638718,16.484945,64.211266,3.672069,0.116080,-0.056822,0.001232
11,0.030556,-163.069885,17.052101,65.025650,3.670784,0.117543,-0.057400,0.001132
12,0.033333,-163.464752,17.416061,65.708931,3.669839,0.118723,-0.057753,0.001052
13,0.036111,-163.737335,17.653511,66.051094,3.669233,0.119401,-0.058063,0.001025
14,0.038889,-163.877701,17.828091,66.241241,3.668814,0.119791,-0.058420,0.001060
15,0.041667,-163.952591,17.915977,66.236557,3.668573,0.119934,-0.058725,0.001111
16,0.044444,-164.210510,18.108030,66.366608,3.668119,0.120367,-0.059024,0.001041
17,0.047222,-159.846573,12.347874,60.969761,3.676622,0.110110,-0.057082,0.001877
18,0.050000,-159.852310,12.377842,60.814415,3.676507,0.110053,-0.057437,0.001745
19,0.052778,-160.032349,12.485096,60.830914,3.676166,0.110251,-0.057634,0.001750
20,0.055556,-160.332947,12.636512,61.261353,3.675530,0.110682,-0.057797,0.001796
21,0.058333,-160.828751,13.039980,61.321377,3.674786,0.111349,-0.057886,0.001058
22,0.061111,-161.056900,13.078445,61.588001,3.674191,0.111838,-0.057964,0.001484
23,0.063889,-161.293793,13.036068,61.719223,3.673820,0.112098,-0.057962,0.001540
24,0.066667,-161.859955,13.393327,62.269714,3.672781,0.113134,-0.058076,0.001514
25,0.069444,-161.925156,13.473426,62.319386,3.672379,0.113295,-0.058537,0.001472
26,0.072222,-161.921295,13.486452,62.435749,3.672073,0.113273,-0.059100,0.001498
27,0.075000,-158.639389,13.956326,59.825237,3.674280,0.109966,-0.064684,0.000982
28,0.077778,-159.009003,13.460728,59.797863,3.674164,0.109811,-0.064256,0.001019
29,0.080556,-159.170212,13.389336,59.758057,3.673820,0.109942,-0.064457,0.000879
30,0.083333,-159.048645,13.648290,59.690186,3.673554,0.110258,-0.065499,0.000881
31,0.086111,-158.801102,14.202062,59.555275,3.673064,0.110645,-0.067083,0.000908
32,0.088889,-157.861557,14.482101,58.870373,3.673155,0.110563,-0.069239,0.001466
33,0.091667,-158.149231,14.208664,58.967163,3.672758,0.110576,-0.069075,0.001387
34,0.094444,-158.623016,14.050360,59.148045,3.672167,0.110738,-0.068860,0.001149
35,0.097222,-158.713074,13.900656,59.010689,3.671915,0.110649,-0.069179,0.001103
36,0.100000,-158.863586,13.792426,58.887535,3.671524,0.110528,-0.069538,0.001062
37,0.102778,-159.137970,13.556474,58.943119,3.671298,0.110507,-0.069580,0.000852
38,0.105556,-159.224716,13.760798,59.033058,3.670712,0.110954,-0.070338,0.000853
39,0.108333,-159.653259,13.334550,59.248421,3.670344,0.110997,-0.070116,0.001092
40,0.111111,-159.710129,13.016368,59.075638,3.670078,0.110943,-0.070067,0.000915
41,0.113889,-159.719009,12.728435,58.811291,3.669939,0.110803,-0.070419,0.000856
42,0.116667,-164.825867,11.748188,61.829071,3.666258,0.115563,-0.063124,0.001019
43,0.119444,-159.576614,12.114669,58.217110,3.669513,0.110237,-0.071311,0.000861
44,0.122222,-159.563461,12.242107,58.260628,3.668869,0.110562,-0.072001,0.000871
45,0.125000,-159.659073,12.123575,58.211231,3.668353,0.110728,-0.072335,0.000846
46,0.127778,-159.799393,11.888575,58.174717,3.667909,0.110745,-0.072483,0.000855
47,0.130556,-160.054840,11.558201,58.122261,3.667550,0.110682,-0.072403,0.000879
48,0.133333,-160.374435,11.052609,58.038284,3.667216,0.110516,-0.072196,0.000876
49,0.136111,-160.199280,11.054635,57.830456,3.666820,0.110621,-0.073166,0.000840
50,0.138889,-159.899643,10.755399,57.484875,3.666664,0.110401,-0.073909,0.000894
51,0.141667,-159.772797,10.989881,57.490784,3.665905,0.110790,-0.074917,0.000880
52,0.144444,-159.974838,11.025621,57.640766,3.665204,0.111252,-0.075318,0.000905
53,0.147222,-162.904984,4.937425,57.954735,3.667953,0.109885,-0.065152,0.000993
54,0.150000,-163.223343,4.299322,57.835640,3.667892,0.109783,-0.064729,0.000945
55,0.152778,-163.401443,4.027937,57.783592,3.667367,0.109830,-0.064871,0.001015
56,0.155556,-163.612091,3.473286,57.529713,3.667237,0.109774,-0.064802,0.001057
57,0.158333,-159.309998,12.541699,55.235958,3.662301,0.109705,-0.082538,0.001216
58,0.161111,,,,,,,
59,0.163889,-170.694290,2.440054,63.212589,3.667489,0.124664,-0.064796,0.000780
60,0.166667,-163.982574,2.543329,56.994228,3.665274,0.109972,-0.066408,0.001015
61,0.169444,-164.116409,2.087344,56.839371,3.665093,0.109770,-0.066379,0.000760
62,0.172222,-164.361023,1.680830,56.735706,3.664780,0.109503,-0.066497,0.001215
63,0.175000,-164.277588,1.460631,56.533806,3.664392,0.109371,-0.067044,0.001282
64,0.177778,,,,,,,
65,0.180556,-164.417648,1.014740,56.343708,3.663211,0.109572,-0.067901,0.001039
