Format Version,1.23,Take Name,BotSide_c_004,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-12 02.55.33.749 PM,Capture Start Frame,2401249,Total Frames in Take,1130,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,
0,0.000000,-100.266068,18.647053,68.813316,3.187508,0.107723,0.486167,0.000979
1,0.002778,-100.104774,18.591682,68.768959,3.187472,0.107743,0.486181,0.000981
2,0.005556,-98.698715,18.811888,68.278557,3.187986,0.108143,0.484918,0.000976
3,0.008333,-99.496002,18.752876,68.604454,3.187553,0.107949,0.486277,0.000879
4,0.011111,-98.602036,18.785357,68.345360,3.187897,0.108114,0.485261,0.000963
5,0.013889,-98.542389,18.789171,68.356941,3.187854,0.108105,0.485412,0.000962
6,0.016667,,,,,,,
7,0.019444,-98.551941,18.574743,68.281952,3.187846,0.107942,0.485648,0.001099
8,0.022222,-98.455467,18.565174,68.171608,3.187750,0.107999,0.485679,0.001126
9,0.025000,-98.478004,18.651260,68.090164,3.187641,0.108031,0.485921,0.001045
10,0.027778,-98.180145,18.415369,67.752876,3.187664,0.107736,0.485451,0.000964
11,0.030556,-99.684837,18.559072,68.500908,3.187245,0.107314,0.487908,0.001136
12,0.033333,,,,,,,
13,0.036111,-98.204483,18.261881,67.916275,3.187428,0.107855,0.486127,0.000987
14,0.038889,,,,,,,
15,0.041667,-98.323128,18.181704,68.093262,3.187389,0.107982,0.486641,0.001081
16,0.044444,-98.301620,18.142918,68.142403,3.187518,0.107836,0.486780,0.001023
17,0.047222,,,,,,,
18,0.050000,-98.116432,18.122524,68.006592,3.187618,0.107551,0.486896,0.001012
19,0.052778,-98.064781,18.114117,67.994705,3.187578,0.107569,0.487040,0.001022
20,0.055556,,,,,,,
21,0.058333,-97.776848,18.081530,67.895714,3.187612,0.107518,0.487189,0.001036
22,0.061111,-97.602028,18.007204,67.787964,3.187680,0.107499,0.487122,0.000930
23,0.063889,-99.154190,18.485041,68.754494,3.186698,0.107032,0.489919,0.000964
24,0.066667,-98.236870,17.893669,68.605965,3.187439,0.108198,0.488735,0.000931
25,0.069444,-97.448898,17.903400,67.841553,3.187351,0.107835,0.487468,0.000999
26,0.072222,,,,,,,
27,0.075000,-97.499184,18.123819,68.159653,3.187222,0.107994,0.488273,0.000965
28,0.077778,,,,,,,
29,0.080556,-97.583473,18.096790,68.242683,3.187035,0.107976,0.488691,0.000937
30,0.083333,-97.513878,18.021811,68.111542,3.187134,0.107642,0.488674,0.001203
31,0.086111,-97.517525,18.167915,68.336746,3.186916,0.107913,0.489119,0.001063
32,0.088889,-97.480804,18.152536,68.321983,3.186908,0.107932,0.489235,0.000999
33,0.091667,-97.374878,18.070885,68.300896,3.186968,0.107937,0.489282,0.000880
34,0.094444,-98.135422,17.965849,68.382324,3.186993,0.107161,0.490164,0.001089
35,0.097222,-98.292542,18.373283,68.495544,3.186483,0.106935,0.490667,0.001002
36,0.100000,-98.288063,18.203550,68.536369,3.186677,0.106878,0.490962,0.001129
37,0.102778,-96.841576,18.005991,67.860161,3.187020,0.107841,0.489116,0.001187
38,0.105556,-96.497078,18.234676,68.177277,3.187043,0.108346,0.489692,0.001053
39,0.108333,-97.738892,18.104895,68.287712,3.186787,0.107493,0.491197,0.000911
40,0.111111,-96.532280,18.064276,67.901962,3.186897,0.107995,0.489440,0.000889
41,0.113889,-96.566574,17.787594,67.890457,3.187136,0.107572,0.489380,0.001082
42,0.116667,,,,,,,
43,0.119444,,,,,,,
44,0.122222,-96.699280,17.806902,68.182671,3.186992,0.107683,0.490080,0.000913
45,0.125000,-96.456604,17.866060,67.913132,3.186788,0.107662,0.489888,0.000994
46,0.127778,,,,,,,
47,0.130556,-97.553627,17.599758,68.419144,3.187022,0.107205,0.491480,0.001063
48,0.133333,-96.743019,17.469193,67.944138,3.187423,0.107247,0.490196,0.001331
49,0.136111,-97.678459,18.320553,68.427406,3.186207,0.106846,0.492257,0.001089
50,0.138889,,,,,,,
51,0.141667,-97.524208,18.126339,68.346573,3.186513,0.107107,0.492647,0.001365
52,0.144444,,,,,,,
53,0.147222,-96.439819,17.827658,68.340485,3.186596,0.107971,0.491656,0.000996
54,0.150000,-95.598976,18.327070,67.982346,3.186536,0.108406,0.490929,0.000780
55,0.152778,,,,,,,
56,0.155556,,,,,,,
57,0.158333,-95.711655,18.189848,68.080078,3.186509,0.108053,0.491223,0.000832
58,0.161111,-95.681427,18.178429,68.113716,3.186560,0.108001,0.491281,0.000928
59,0.163889,-95.519974,18.336786,67.901337,3.186412,0.108112,0.491123,0.000712
60,0.166667,-95.415070,18.256550,67.699493,3.186345,0.108076,0.490845,0.000720
61,0.169444,,,,,,,
62,0.172222,-95.228920,18.097803,67.619362,3.186419,0.107809,0.490988,0.000675
63,0.175000,-95.330177,18.074648,67.756508,3.186501,0.107901,0.491340,0.000814
64,0.177778,-95.355049,18.112843,67.885063,3.186532,0.108011,0.491621,0.000878
65,0.180556,-95.372391,17.991920,67.841385,3.186552,0.107951,0.491692,0.000921
66,0.183333,,,,,,,
67,0.186111,-95.530548,18.180317,67.852234,3.186284,0.107885,0.492217,0.000802
68,0.188889,,,,,,,
69,0.191667,,,,,,,
70,0.194444,-96.642570,17.817965,68.432556,3.185976,0.106842,0.494170,0.001032
71,0.197222,,,,,,,
72,0.200000,,,,,,,
73,0.202778,-96.205414,17.886551,68.285255,3.186165,0.107365,0.493966,0.000909
74,0.205556,,,,,,,
75,0.208333,,,,,,,
76,0.211111,,,,,,,
77,0.213889,-95.801796,17.877184,68.196335,3.186388,0.107806,0.493950,0.000917
78,0.216667,,,,,,,
79,0.219444,-95.537735,17.864246,68.133797,3.186368,0.107723,0.493661,0.001001
80,0.222222,,,,,,,
81,0.225000,-95.059822,17.900223,67.718513,3.186251,0.107511,0.493003,0.001066
82,0.227778,,,,,,,
83,0.230556,-96.786118,18.258606,68.600655,3.185206,0.106219,0.495664,0.001008
