Format Version,1.23,Take Name,LeftSide_a_003,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-12 02.43.16.851 PM,Capture Start Frame,2135968,Total Frames in Take,1239,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,
0,0.000000,,,,,,,
1,0.002778,-88.607018,-7.589435,50.485046,3.284580,0.108554,1.933129,0.001192
2,0.005556,,,,,,,
3,0.008333,-88.485870,-7.631848,50.401814,3.284553,0.108518,1.932920,0.001189
4,0.011111,-88.533661,-7.641615,50.458454,3.284612,0.108546,1.933151,0.001183
5,0.013889,,,,,,,
6,0.016667,-88.367973,-7.692072,50.368900,3.284583,0.108492,1.932822,0.001192
7,0.019444,,,,,,,
8,0.022222,-88.358978,-7.701575,50.369671,3.284583,0.108509,1.932940,0.001185
9,0.025000,,,,,,,
10,0.027778,-88.394470,-7.733891,50.421417,3.284648,0.108547,1.933234,0.001188
11,0.030556,,,,,,,
12,0.033333,,,,,,,
13,0.036111,-88.445473,-7.750154,50.477688,3.284679,0.108590,1.933534,0.001191
14,0.038889,,,,,,,
15,0.041667,,,,,,,
16,0.044444,-89.729095,-7.598466,50.978096,3.284071,0.107879,1.934629,0.001317
17,0.047222,,,,,,,
18,0.050000,,,,,,,
19,0.052778,-87.638908,-7.373422,51.070171,3.284475,0.108672,1.934217,0.001086
20,0.055556,-87.542046,-7.286707,51.069088,3.284413,0.108595,1.934173,0.001081
21,0.058333,,,,,,,
22,0.061111,-87.575623,-7.343403,51.057034,3.284498,0.108668,1.934316,0.001076
23,0.063889,,,,,,,
24,0.066667,-87.550148,-7.338335,51.051220,3.284518,0.108661,1.934385,0.001065
25,0.069444,,,,,,,
26,0.072222,-87.502747,-7.355872,51.028454,3.284571,0.108606,1.934406,0.001051
27,0.075000,,,,,,,
28,0.077778,-87.488831,-7.340035,51.011906,3.284580,0.108619,1.934487,0.001038
29,0.080556,-87.498161,-7.358335,51.009010,3.284610,0.108647,1.934554,0.001034
30,0.083333,-87.448586,-7.313654,51.006798,3.284583,0.108539,1.934521,0.001029
31,0.086111,,,,,,,
32,0.088889,-86.896881,-6.748144,51.179180,3.283816,0.108189,1.933828,0.001099
33,0.091667,-86.875374,-6.715168,51.174721,3.283798,0.108181,1.933847,0.001107
34,0.094444,-86.877174,-6.692708,51.187717,3.283766,0.108182,1.933900,0.001106
35,0.097222,-86.813095,-6.765694,51.212914,3.283825,0.108250,1.933946,0.001149
36,0.100000,-86.809990,-6.745964,51.207687,3.283813,0.108257,1.933983,0.001140
37,0.102778,-86.784874,-6.755405,51.200176,3.283847,0.108263,1.934010,0.001127
38,0.105556,-86.783104,-6.782372,51.214249,3.283900,0.108269,1.934075,0.001136
39,0.108333,-86.767746,-6.766610,51.206352,3.283882,0.108277,1.934101,0.001135
40,0.111111,-86.771339,-6.770026,51.209953,3.283910,0.108291,1.934164,0.001137
41,0.113889,-86.714058,-6.774412,51.208954,3.283901,0.108273,1.934132,0.001144
42,0.116667,-86.744522,-6.772457,51.202980,3.283935,0.108256,1.934217,0.001140
43,0.119444,-86.707420,-6.768485,51.221561,3.283935,0.108272,1.934238,0.001149
44,0.122222,-86.685089,-6.754965,51.223576,3.283914,0.108287,1.934280,0.001152
45,0.125000,-86.719917,-6.810516,51.224541,3.284019,0.108285,1.934378,0.001142
46,0.127778,-86.652298,-6.720109,51.232735,3.283903,0.108313,1.934371,0.001141
47,0.130556,-86.655807,-6.767272,51.239620,3.283980,0.108334,1.934435,0.001139
48,0.133333,-86.663956,-6.772929,51.233929,3.284017,0.108331,1.934502,0.001135
49,0.136111,-86.618591,-6.735367,51.232025,3.283975,0.108317,1.934486,0.001129
50,0.138889,,,,,,,
51,0.141667,-86.588776,-6.744890,51.234215,3.284003,0.108312,1.934564,0.001141
52,0.144444,-86.572891,-6.703507,51.233662,3.284014,0.108341,1.934622,0.001144
53,0.147222,-86.531487,-6.710002,51.237091,3.284014,0.108334,1.934616,0.001144
54,0.150000,-86.548019,-6.696023,51.222225,3.284031,0.108296,1.934682,0.001139
55,0.152778,-86.505379,-6.698296,51.215900,3.284074,0.108337,1.934696,0.001152
56,0.155556,-88.235359,-6.846975,51.004028,3.284380,0.106927,1.935830,0.001109
57,0.158333,-86.451408,-6.675706,51.217865,3.284072,0.108336,1.934741,0.001145
58,0.161111,-86.405647,-6.647570,51.228783,3.284046,0.108348,1.934752,0.001149
59,0.163889,-86.424667,-6.660768,51.218224,3.284078,0.108295,1.934807,0.001149
60,0.166667,-88.270569,-6.884644,51.052425,3.284450,0.107065,1.935988,0.001117
61,0.169444,,,,,,,
62,0.172222,-86.761719,-6.486941,51.002319,3.284152,0.107694,1.935036,0.001332
63,0.175000,-86.727692,-6.515515,50.986412,3.284240,0.107710,1.935124,0.001227
64,0.177778,,,,,,,
65,0.180556,-86.701897,-6.508480,50.986549,3.284281,0.107707,1.935192,0.001215
66,0.183333,,,,,,,
67,0.186111,,,,,,,
68,0.188889,-86.647758,-6.438847,51.003052,3.284271,0.107701,1.935290,0.001246
69,0.191667,,,,,,,
70,0.194444,-86.607391,-6.418560,51.004456,3.284291,0.107725,1.935357,0.001255
71,0.197222,,,,,,,
72,0.200000,-86.565804,-6.435018,51.001884,3.284370,0.107734,1.935410,0.001265
73,0.202778,,,,,,,
74,0.205556,-86.302818,-6.259820,51.113129,3.284279,0.107961,1.935490,0.001081
75,0.208333,,,,,,,
76,0.211111,-86.295898,-6.533625,51.188679,3.284392,0.108208,1.935549,0.001088
77,0.213889,-86.281670,-6.492286,51.193321,3.284360,0.108192,1.935568,0.001094
78,0.216667,-86.218307,-6.485853,51.187916,3.284387,0.108193,1.935548,0.001108
79,0.219444,-86.281906,-6.506408,51.178890,3.284440,0.108179,1.935660,0.001087
80,0.222222,-86.214546,-6.493441,51.189789,3.284450,0.108201,1.935644,0.001105
81,0.225000,-86.191879,-6.484029,51.173500,3.284436,0.108144,1.935633,0.001105
