Format Version,1.23,Take Name,RightSide_a_003,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-12 02.51.06.245 PM,Capture Start Frame,2304949,Total Frames in Take,1250,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,
0,0.000000,,,,,,,
1,0.002778,-94.143257,-26.178413,-147.001129,2.878533,0.106222,-1.424107,0.000996
2,0.005556,-94.696411,-26.112471,-147.226212,2.878260,0.106566,-1.424476,0.001083
3,0.008333,,,,,,,
4,0.011111,,,,,,,
5,0.013889,-94.691681,-26.137144,-147.233734,2.878291,0.106545,-1.424483,0.001043
6,0.016667,,,,,,,
7,0.019444,-94.245956,-26.213387,-147.037735,2.878533,0.106193,-1.424135,0.000980
8,0.022222,,,,,,,
9,0.025000,-94.587708,-26.159115,-147.207932,2.878366,0.106435,-1.424353,0.001037
10,0.027778,,,,,,,
11,0.030556,-94.270180,-26.233961,-147.049606,2.878485,0.106231,-1.424158,0.001030
12,0.033333,-94.672760,-26.111530,-147.245117,2.878237,0.106587,-1.424435,0.001052
13,0.036111,,,,,,,
14,0.038889,-94.134483,-26.195707,-147.007797,2.878550,0.106224,-1.424135,0.000998
15,0.041667,-94.672966,-26.114296,-147.240280,2.878266,0.106567,-1.424442,0.001081
16,0.044444,,,,,,,
17,0.047222,-94.702423,-26.116129,-147.235901,2.878267,0.106586,-1.424489,0.001053
18,0.050000,,,,,,,
19,0.052778,-94.412918,-26.162962,-147.125153,2.878430,0.106419,-1.424243,0.001066
20,0.055556,-94.688492,-26.106010,-147.242203,2.878242,0.106543,-1.424477,0.001061
21,0.058333,,,,,,,
22,0.061111,-94.701912,-26.118071,-147.241409,2.878258,0.106590,-1.424448,0.001038
23,0.063889,,,,,,,
24,0.066667,-94.643967,-26.099714,-147.240829,2.878227,0.106613,-1.424411,0.001076
25,0.069444,,,,,,,
26,0.072222,-94.687866,-26.131098,-147.246170,2.878201,0.106654,-1.424418,0.001087
27,0.075000,,,,,,,
28,0.077778,-94.682976,-26.104227,-147.231644,2.878244,0.106585,-1.424492,0.001053
29,0.080556,,,,,,,
30,0.083333,,,,,,,
31,0.086111,-94.686836,-26.126663,-147.230804,2.878271,0.106549,-1.424478,0.001066
32,0.088889,,,,,,,
33,0.091667,-94.685684,-26.123119,-147.239044,2.878277,0.106559,-1.424478,0.001046
34,0.094444,,,,,,,
35,0.097222,,,,,,,
36,0.100000,,,,,,,
37,0.102778,-94.496635,-26.158852,-147.161713,2.878384,0.106446,-1.424284,0.001050
38,0.105556,,,,,,,
39,0.108333,-94.179810,-26.191141,-147.019623,2.878543,0.106216,-1.424149,0.000991
40,0.111111,,,,,,,
41,0.113889,,,,,,,
42,0.116667,,,,,,,
43,0.119444,,,,,,,
44,0.122222,-94.648392,-26.118565,-147.229599,2.878288,0.106572,-1.424471,0.001039
45,0.125000,,,,,,,
46,0.127778,,,,,,,
47,0.130556,-94.510124,-26.178719,-147.191711,2.878410,0.106426,-1.424345,0.001046
48,0.133333,-94.661507,-26.120724,-147.248505,2.878273,0.106611,-1.424439,0.001049
49,0.136111,,,,,,,
50,0.138889,,,,,,,
51,0.141667,-94.658669,-26.106710,-147.246323,2.878257,0.106589,-1.424393,0.001082
52,0.144444,,,,,,,
53,0.147222,-94.686981,-26.133646,-147.222870,2.878304,0.106538,-1.424449,0.001038
54,0.150000,,,,,,,
55,0.152778,,,,,,,
56,0.155556,-94.658920,-26.122828,-147.228683,2.878279,0.106563,-1.424462,0.001060
57,0.158333,,,,,,,
58,0.161111,-94.416100,-26.148481,-147.140259,2.878415,0.106426,-1.424252,0.001062
59,0.163889,,,,,,,
60,0.166667,-94.141876,-26.190023,-147.019775,2.878543,0.106246,-1.424152,0.000984
61,0.169444,-94.365791,-26.130978,-147.125137,2.878402,0.106451,-1.424232,0.001081
62,0.172222,,,,,,,
63,0.175000,-94.394798,-26.169170,-147.131058,2.878452,0.106403,-1.424265,0.001054
64,0.177778,-94.698280,-26.115808,-147.239380,2.878264,0.106562,-1.424460,0.001061
65,0.180556,,,,,,,
66,0.183333,,,,,,,
67,0.186111,-94.661537,-26.100807,-147.229797,2.878278,0.106569,-1.424506,0.001039
68,0.188889,,,,,,,
69,0.191667,-94.492584,-26.160725,-147.156525,2.878400,0.106410,-1.424306,0.001050
70,0.194444,,,,,,,
71,0.197222,-94.379204,-26.143700,-147.125412,2.878399,0.106428,-1.424261,0.001065
72,0.200000,,,,,,,
73,0.202778,-94.496475,-26.197361,-147.166428,2.878429,0.106389,-1.424335,0.001047
74,0.205556,-94.659042,-26.128420,-147.233475,2.878298,0.106574,-1.424440,0.001081
75,0.208333,,,,,,,
76,0.211111,,,,,,,
77,0.213889,-94.648705,-26.114267,-147.234512,2.878276,0.106571,-1.424446,0.001059
78,0.216667,,,,,,,
79,0.219444,,,,,,,
80,0.222222,,,,,,,
81,0.225000,,,,,,,
82,0.227778,,,,,,,
83,0.230556,-94.660019,-26.111794,-147.241501,2.878280,0.106585,-1.424456,0.001053
84,0.233333,,,,,,,
85,0.236111,,,,,,,
86,0.238889,-94.656967,-26.140514,-147.233994,2.878356,0.106513,-1.424477,0.001043
87,0.241667,,,,,,,
88,0.244444,,,,,,,
89,0.247222,-94.672707,-26.125404,-147.229904,2.878288,0.106563,-1.424477,0.001047
90,0.250000,,,,,,,
91,0.252778,-94.102669,-26.201805,-146.993423,2.878571,0.106199,-1.424137,0.000992
92,0.255556,-94.652534,-26.144615,-147.233170,2.878306,0.106506,-1.424507,0.001059
93,0.258333,,,,,,,
94,0.261111,-94.629265,-26.143839,-147.232635,2.878310,0.106559,-1.424509,0.001071
95,0.263889,,,,,,,
96,0.266667,,,,,,,
97,0.269444,-94.419083,-26.169964,-147.135315,2.878444,0.106434,-1.424300,0.001062
98,0.272222,,,,,,,
99,0.275000,-94.466431,-26.174849,-147.142883,2.878449,0.106409,-1.424299,0.001069
100,0.277778,,,,,,,
