Format Version,1.23,Take Name,RightSide_b_003,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-12 02.51.17.074 PM,Capture Start Frame,2308847,Total Frames in Take,1037,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,
0,0.000000,,,,,,,
1,0.002778,-102.320198,-47.290852,-159.452225,2.873310,0.106250,-1.933606,0.001251
2,0.005556,,,,,,,
3,0.008333,,,,,,,
4,0.011111,-101.368958,-47.957073,-159.821899,2.874569,0.105039,-1.935612,0.001438
5,0.013889,,,,,,,
6,0.016667,-102.244781,-47.876842,-160.089905,2.874741,0.104481,-1.934601,0.001432
7,0.019444,-103.934669,-45.996536,-160.369156,2.872086,0.106313,-1.933368,0.001078
8,0.022222,-103.832039,-45.956985,-160.384537,2.872174,0.106288,-1.933397,0.001074
9,0.025000,,,,,,,
10,0.027778,-103.934830,-46.044991,-160.559280,2.872195,0.106433,-1.933069,0.001212
11,0.030556,-103.827477,-46.075230,-160.533554,2.872416,0.106357,-1.932892,0.001216
12,0.033333,-103.634933,-46.264130,-160.631912,2.872696,0.106025,-1.933012,0.001117
13,0.036111,-103.630089,-45.830170,-160.346558,2.872534,0.106191,-1.932936,0.000952
14,0.038889,-103.528732,-46.158203,-160.557281,2.872823,0.105885,-1.932986,0.000982
15,0.041667,-103.513115,-46.072330,-160.478271,2.872839,0.105765,-1.932825,0.000953
16,0.044444,-103.996925,-46.589508,-160.972107,2.873600,0.105012,-1.932870,0.001073
17,0.047222,,,,,,,
18,0.050000,,,,,,,
19,0.052778,-102.175201,-46.292583,-160.574127,2.873456,0.105721,-1.933344,0.000965
20,0.055556,,,,,,,
21,0.058333,-102.057755,-46.203281,-160.592728,2.873653,0.105796,-1.933169,0.000955
22,0.061111,,,,,,,
23,0.063889,,,,,,,
24,0.066667,-102.012947,-45.794109,-160.302780,2.873466,0.106055,-1.932296,0.000996
25,0.069444,-101.986069,-45.760914,-160.342743,2.873587,0.106048,-1.932223,0.001012
26,0.072222,,,,,,,
27,0.075000,-103.133202,-46.106789,-160.849411,2.874651,0.104912,-1.932070,0.001077
28,0.077778,,,,,,,
29,0.080556,-102.271523,-45.844521,-160.834702,2.874653,0.105550,-1.932269,0.001080
30,0.083333,-102.579277,-45.788090,-160.790085,2.874609,0.105313,-1.931999,0.001154
31,0.086111,-102.228828,-45.676952,-160.623184,2.874588,0.105270,-1.932094,0.001009
32,0.088889,,,,,,,
33,0.091667,,,,,,,
34,0.094444,,,,,,,
35,0.097222,,,,,,,
36,0.100000,,,,,,,
37,0.102778,,,,,,,
38,0.105556,,,,,,,
39,0.108333,,,,,,,
40,0.111111,,,,,,,
41,0.113889,-101.407112,-44.974773,-160.026215,2.874786,0.105276,-1.930495,0.000855
42,0.116667,,,,,,,
43,0.119444,,,,,,,
44,0.122222,-100.232277,-44.753120,-159.746399,2.874974,0.105660,-1.930459,0.000795
45,0.125000,,,,,,,
46,0.127778,-101.317162,-44.885181,-159.911926,2.875268,0.104899,-1.929643,0.001089
47,0.130556,-101.174477,-45.247070,-159.804565,2.876055,0.104800,-1.929119,0.001105
48,0.133333,,,,,,,
49,0.136111,,,,,,,
50,0.138889,,,,,,,
51,0.141667,-101.249390,-44.934544,-160.140060,2.876179,0.104748,-1.929114,0.001308
52,0.144444,,,,,,,
53,0.147222,,,,,,,
54,0.150000,,,,,,,
55,0.152778,,,,,,,
56,0.155556,-100.691582,-44.737984,-160.132797,2.876622,0.104804,-1.928908,0.001405
57,0.158333,,,,,,,
58,0.161111,,,,,,,
59,0.163889,,,,,,,
60,0.166667,-100.210655,-44.243690,-159.906830,2.876339,0.105220,-1.928384,0.000937
61,0.169444,-100.409821,-44.151489,-160.184097,2.876488,0.105451,-1.928400,0.000871
62,0.172222,,,,,,,
63,0.175000,-100.290359,-44.059284,-160.087540,2.876702,0.105323,-1.928125,0.001106
64,0.177778,,,,,,,
65,0.180556,-100.200027,-43.971264,-160.024796,2.876778,0.105353,-1.927934,0.001091
66,0.183333,,,,,,,
67,0.186111,-100.625259,-43.993763,-160.146194,2.877045,0.105127,-1.927461,0.001101
68,0.188889,-100.593231,-43.962288,-160.112289,2.877166,0.105091,-1.927289,0.001098
69,0.191667,,,,,,,
70,0.194444,-99.185707,-43.717888,-159.897171,2.877277,0.104818,-1.928217,0.000822
71,0.197222,,,,,,,
72,0.200000,,,,,,,
73,0.202778,,,,,,,
74,0.205556,,,,,,,
75,0.208333,,,,,,,
76,0.211111,,,,,,,
77,0.213889,-99.775955,-43.479954,-160.036484,2.877774,0.105220,-1.926505,0.001121
78,0.216667,,,,,,,
79,0.219444,-99.658310,-43.417091,-160.032440,2.877998,0.105254,-1.926251,0.001153
80,0.222222,,,,,,,
81,0.225000,,,,,,,
82,0.227778,-99.430695,-43.277042,-159.977356,2.878244,0.105210,-1.925903,0.001139
83,0.230556,,,,,,,
84,0.233333,-99.288269,-43.180202,-159.966003,2.878393,0.105240,-1.925705,0.001170
85,0.236111,,,,,,,
86,0.238889,,,,,,,
87,0.241667,,,,,,,
88,0.244444,-99.215172,-42.918739,-160.178955,2.878729,0.105327,-1.925412,0.001298
89,0.247222,,,,,,,
90,0.250000,-98.870255,-42.874180,-159.933609,2.878797,0.105279,-1.925133,0.001144
91,0.252778,,,,,,,
92,0.255556,,,,,,,
93,0.258333,,,,,,,
94,0.261111,-98.550484,-42.583279,-159.943039,2.878960,0.105343,-1.924907,0.001137
95,0.263889,,,,,,,
96,0.266667,,,,,,,
97,0.269444,-97.846977,-42.444996,-159.907059,2.879079,0.105099,-1.925070,0.001120
98,0.272222,-97.681984,-42.454002,-159.928146,2.879303,0.105063,-1.925137,0.001171
99,0.275000,,,,,,,
100,0.277778,-98.172836,-42.086109,-160.116547,2.879192,0.105360,-1.924798,0.001160
101,0.280556,,,,,,,
102,0.283333,,,,,,,
103,0.286111,,,,,,,
