Format Version,1.23,Take Name,RightSide_d_004,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-12 02.52.09.688 PM,Capture Start Frame,2327788,Total Frames in Take,1034,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,
0,0.000000,,,,,,,
1,0.002778,,,,,,,
2,0.005556,,,,,,,
3,0.008333,,,,,,,
4,0.011111,,,,,,,
5,0.013889,,,,,,,
6,0.016667,,,,,,,
7,0.019444,,,,,,,
8,0.022222,-39.750813,-20.868921,-114.612488,2.911691,0.244753,-1.767017,0.002414
9,0.025000,,,,,,,
10,0.027778,,,,,,,
11,0.030556,,,,,,,
12,0.033333,,,,,,,
13,0.036111,-65.812424,-30.746197,-138.111160,2.926212,0.105646,-1.745968,0.000878
14,0.038889,,,,,,,
15,0.041667,,,,,,,
16,0.044444,,,,,,,
17,0.047222,,,,,,,
18,0.050000,,,,,,,
19,0.052778,,,,,,,
20,0.055556,,,,,,,
21,0.058333,-66.229767,-30.974239,-138.225510,2.924701,0.106008,-1.747759,0.000819
22,0.061111,,,,,,,
23,0.063889,,,,,,,
24,0.066667,,,,,,,
25,0.069444,,,,,,,
26,0.072222,,,,,,,
27,0.075000,-66.420219,-31.144115,-137.862152,2.922940,0.106285,-1.748777,0.000823
28,0.077778,,,,,,,
29,0.080556,-66.484924,-31.343220,-137.789032,2.922645,0.106284,-1.749155,0.000872
30,0.083333,,,,,,,
31,0.086111,-66.607635,-31.502848,-137.704819,2.922279,0.106288,-1.749450,0.000910
32,0.088889,,,,,,,
33,0.091667,-66.641998,-31.634903,-137.707397,2.922028,0.106295,-1.749976,0.000876
34,0.094444,,,,,,,
35,0.097222,-67.431160,-32.230221,-137.523392,2.922454,0.105460,-1.749636,0.000903
36,0.100000,,,,,,,
37,0.102778,,,,,,,
38,0.105556,,,,,,,
39,0.108333,-67.239021,-32.547646,-137.444656,2.921946,0.105810,-1.750440,0.000801
40,0.111111,,,,,,,
41,0.113889,,,,,,,
42,0.116667,,,,,,,
43,0.119444,,,,,,,
44,0.122222,-67.299019,-32.650269,-137.107986,2.920040,0.106043,-1.751436,0.000813
45,0.125000,,,,,,,
46,0.127778,-67.648338,-32.877350,-136.990326,2.919909,0.105513,-1.751514,0.000785
47,0.130556,,,,,,,
48,0.133333,,,,,,,
49,0.136111,,,,,,,
50,0.138889,-68.077881,-33.665443,-136.751389,2.919850,0.105554,-1.751895,0.000751
51,0.141667,,,,,,,
52,0.144444,,,,,,,
53,0.147222,,,,,,,
54,0.150000,,,,,,,
55,0.152778,,,,,,,
56,0.155556,-67.933250,-33.705158,-136.742630,2.918133,0.106285,-1.753321,0.000855
57,0.158333,-68.418434,-34.258797,-136.730759,2.918820,0.105898,-1.753006,0.000819
58,0.161111,,,,,,,
59,0.163889,,,,,,,
60,0.166667,-68.381073,-34.004688,-136.382172,2.917309,0.105922,-1.753654,0.000918
61,0.169444,,,,,,,
62,0.172222,-68.631920,-34.166218,-136.383224,2.916950,0.105840,-1.753904,0.000924
63,0.175000,,,,,,,
64,0.177778,-68.670334,-34.350147,-136.338226,2.916654,0.105929,-1.754330,0.000901
65,0.180556,,,,,,,
66,0.183333,-68.604042,-34.668362,-136.252838,2.916652,0.105897,-1.754683,0.000909
67,0.186111,,,,,,,
68,0.188889,,,,,,,
69,0.191667,-68.823700,-34.966602,-136.320786,2.916246,0.106100,-1.755258,0.000824
70,0.194444,,,,,,,
71,0.197222,-68.707397,-35.003185,-136.197495,2.915499,0.106224,-1.756005,0.000990
72,0.200000,,,,,,,
73,0.202778,,,,,,,
74,0.205556,-68.901115,-35.167877,-136.041870,2.914898,0.106176,-1.756188,0.001058
75,0.208333,,,,,,,
76,0.211111,,,,,,,
77,0.213889,-69.050850,-35.334690,-135.827087,2.914325,0.106230,-1.756266,0.000976
78,0.216667,,,,,,,
79,0.219444,,,,,,,
80,0.222222,,,,,,,
81,0.225000,,,,,,,
82,0.227778,-69.642021,-35.884590,-135.798828,2.913531,0.105674,-1.757274,0.000938
83,0.230556,,,,,,,
84,0.233333,-69.137543,-35.926708,-135.674911,2.913250,0.106411,-1.757876,0.000923
85,0.236111,,,,,,,
86,0.238889,,,,,,,
87,0.241667,-69.127975,-36.175980,-135.629929,2.912946,0.106559,-1.758536,0.000919
88,0.244444,-69.738602,-36.532963,-135.588348,2.913217,0.106188,-1.757829,0.000987
89,0.247222,,,,,,,
90,0.250000,-69.225983,-36.432648,-135.496933,2.912421,0.106576,-1.758898,0.000987
91,0.252778,,,,,,,
92,0.255556,-69.834030,-36.955849,-135.360138,2.912279,0.105974,-1.758737,0.001219
93,0.258333,,,,,,,
94,0.261111,,,,,,,
95,0.263889,,,,,,,
96,0.266667,,,,,,,
97,0.269444,,,,,,,
98,0.272222,-69.879280,-37.232941,-135.124634,2.910969,0.106058,-1.759643,0.001108
99,0.275000,,,,,,,
100,0.277778,,,,,,,
101,0.280556,,,,,,,
102,0.283333,,,,,,,
103,0.286111,,,,,,,
104,0.288889,,,,,,,
105,0.291667,-70.098679,-37.695362,-135.013275,2.910120,0.106491,-1.760265,0.000980
106,0.294444,,,,,,,
107,0.297222,,,,,,,
108,0.300000,,,,,,,
109,0.302778,,,,,,,
110,0.305556,-70.301758,-38.257832,-134.958115,2.909006,0.105975,-1.761637,0.001197
111,0.308333,,,,,,,
112,0.311111,,,,,,,
113,0.313889,,,,,,,
114,0.316667,,,,,,,
115,0.319444,-70.649605,-37.571770,-135.602524,2.907376,0.107459,-1.762614,0.000713
116,0.322222,,,,,,,
117,0.325000,-70.606766,-37.539055,-135.420410,2.906855,0.107636,-1.763010,0.001202
118,0.327778,,,,,,,
119,0.330556,-71.626450,-39.417522,-134.741577,2.909293,0.106640,-1.760516,0.001029
120,0.333333,,,,,,,
121,0.336111,-72.157112,-38.787735,-134.826859,2.907022,0.106037,-1.761231,0.001095
122,0.338889,,,,,,,
123,0.341667,,,,,,,
