Format Version,1.23,Take Name,TopSide_a_004,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-12 02.48.08.863 PM,Capture Start Frame,2241092,Total Frames in Take,1484,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,
0,0.000000,-118.391045,7.021893,17.148165,2.761613,0.108181,0.146724,0.001139
1,0.002778,-117.770164,6.276080,16.811934,2.762546,0.108743,0.147153,0.001089
2,0.005556,-118.015945,6.643207,17.055807,2.762207,0.108183,0.146348,0.001124
3,0.008333,-118.688210,6.724837,16.571344,2.761938,0.109171,0.148139,0.001184
4,0.011111,-118.294769,6.518561,16.737391,2.762075,0.109076,0.147555,0.001181
5,0.013889,-117.446686,6.622459,17.075901,2.761965,0.108391,0.146344,0.001128
6,0.016667,-117.739441,6.271035,16.780092,2.762532,0.108787,0.147186,0.001085
7,0.019444,-117.742149,6.729930,16.939137,2.761823,0.108286,0.146256,0.001121
8,0.022222,-117.861366,6.403413,16.822275,2.762133,0.109012,0.147280,0.001167
9,0.025000,-118.115189,6.494123,16.757431,2.762063,0.109030,0.147433,0.001165
10,0.027778,-117.621254,6.757519,16.837545,2.761802,0.108377,0.146087,0.001098
11,0.030556,-118.218544,6.503851,16.713448,2.762089,0.109051,0.147493,0.001149
12,0.033333,-116.966721,7.251569,16.899874,2.761317,0.108880,0.145434,0.001038
13,0.036111,-117.273651,6.876679,16.814627,2.761728,0.108329,0.145695,0.001015
14,0.038889,-117.614136,6.310958,16.798763,2.762496,0.108542,0.146769,0.001038
15,0.041667,-117.438423,6.658739,16.731041,2.762146,0.108091,0.145674,0.001067
16,0.044444,-117.399109,6.565258,16.977718,2.762128,0.108216,0.146223,0.001000
17,0.047222,-117.469025,6.589619,16.788628,2.762232,0.108106,0.145803,0.001075
18,0.050000,-117.207932,6.775550,17.042582,2.761723,0.108537,0.146112,0.001069
19,0.052778,-117.195518,6.961727,16.770910,2.761638,0.108362,0.145528,0.001057
20,0.055556,-118.872765,6.766273,16.573090,2.761869,0.109199,0.148163,0.001165
21,0.058333,-117.382950,6.724282,16.878275,2.761870,0.108260,0.145922,0.001074
22,0.061111,-117.338882,6.746037,16.911085,2.761862,0.108297,0.145937,0.001075
23,0.063889,-117.224052,6.628033,17.092049,2.761908,0.108446,0.146253,0.001105
24,0.066667,-117.739227,6.339139,16.862505,2.762200,0.108915,0.147158,0.001159
25,0.069444,-117.557724,6.686314,16.918690,2.761869,0.108310,0.146133,0.001104
26,0.072222,-117.567696,6.742834,16.770298,2.761856,0.108280,0.145917,0.001107
27,0.075000,-117.928200,6.412077,16.819384,2.762085,0.109002,0.147320,0.001168
28,0.077778,-118.265259,6.684412,17.096298,2.762091,0.108258,0.146495,0.001153
29,0.080556,-117.856827,6.338269,16.812662,2.762214,0.108930,0.147255,0.001167
30,0.083333,-117.383102,6.718619,16.857136,2.761885,0.108347,0.145872,0.001104
31,0.086111,-117.538033,6.475267,17.001696,2.762230,0.108259,0.146300,0.001034
32,0.088889,-117.497604,6.535060,16.925835,2.762118,0.108363,0.146079,0.001115
33,0.091667,-117.611382,6.182033,16.951004,2.762510,0.108776,0.146902,0.001178
34,0.094444,-117.635612,6.172103,16.874407,2.762649,0.108714,0.146779,0.001099
35,0.097222,-117.511833,6.223541,16.957384,2.762586,0.108452,0.146038,0.001120
36,0.100000,-117.506561,6.218509,16.938225,2.762596,0.108417,0.145964,0.001114
37,0.102778,-117.555740,5.822838,17.216387,2.763404,0.108718,0.146204,0.000978
38,0.105556,-117.722206,6.200536,16.588680,2.762709,0.108901,0.147336,0.001070
39,0.108333,-117.734024,6.213573,16.589899,2.762674,0.108908,0.147367,0.001059
40,0.111111,-117.684364,6.190865,16.572487,2.762716,0.108937,0.147328,0.001073
41,0.113889,-117.677711,6.180841,16.581854,2.762718,0.108975,0.147345,0.001065
42,0.116667,-118.937607,6.835311,16.580996,2.761825,0.108916,0.148359,0.001153
43,0.119444,-117.716423,6.198194,16.587925,2.762721,0.108871,0.147256,0.001072
44,0.122222,-118.284470,6.997089,17.157364,2.761588,0.108121,0.146566,0.001162
45,0.125000,-117.904610,6.657837,17.025673,2.762081,0.108147,0.146297,0.001125
46,0.127778,-118.620773,6.700940,16.592928,2.761879,0.109181,0.148154,0.001192
47,0.130556,-118.396751,6.587992,16.604042,2.761983,0.109220,0.148050,0.001189
48,0.133333,-118.180977,6.640383,17.097178,2.762164,0.108182,0.146465,0.001147
49,0.136111,-117.959732,6.614531,16.947996,2.762183,0.108168,0.146235,0.001143
50,0.138889,-117.662399,6.223917,16.977177,2.762753,0.108321,0.146407,0.001031
51,0.141667,-118.568726,6.682252,16.609022,2.761889,0.109169,0.148057,0.001171
52,0.144444,-117.663803,6.193301,16.602465,2.762700,0.108945,0.147298,0.001076
53,0.147222,,,,,,,
54,0.150000,-118.653198,6.710635,16.602612,2.761866,0.109141,0.148193,0.001187
55,0.152778,,,,,,,
56,0.155556,-118.569778,6.684869,16.587584,2.761893,0.109184,0.148162,0.001189
57,0.158333,-118.416893,6.608752,16.604301,2.761962,0.109174,0.147970,0.001184
58,0.161111,-118.781975,7.187695,17.178528,2.761397,0.108058,0.147216,0.001131
59,0.163889,-118.449951,7.023217,17.162407,2.761549,0.108197,0.146751,0.001144
60,0.166667,-118.669441,7.272278,17.246248,2.761119,0.108023,0.147098,0.001124
61,0.169444,-118.807098,7.153443,17.205326,2.761484,0.108084,0.147200,0.001142
62,0.172222,-117.827919,6.525680,16.856428,2.762301,0.108214,0.146183,0.001142
63,0.175000,-118.578926,6.694539,16.592609,2.761873,0.109164,0.148135,0.001172
64,0.177778,-118.514397,7.094184,17.173735,2.761415,0.108193,0.146889,0.001147
65,0.180556,-119.105362,7.537774,17.021217,2.761090,0.107689,0.148021,0.001134
66,0.183333,-119.070442,6.893793,16.592941,2.761799,0.108864,0.148415,0.001158
67,0.186111,-118.905098,7.385562,17.212502,2.761079,0.107820,0.147421,0.001122
