Format Version,1.23,Take Name,TopSide_b_003,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-12 02.47.33.552 PM,Capture Start Frame,2228380,Total Frames in Take,1222,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,
0,0.000000,,,,,,,
1,0.002778,,,,,,,
2,0.005556,,,,,,,
3,0.008333,,,,,,,
4,0.011111,,,,,,,
5,0.013889,-47.077736,20.858006,-67.577446,2.728455,0.100784,0.114882,0.001293
6,0.016667,,,,,,,
7,0.019444,,,,,,,
8,0.022222,,,,,,,
9,0.025000,,,,,,,
10,0.027778,,,,,,,
11,0.030556,,,,,,,
12,0.033333,-47.383972,20.888092,-67.793106,2.729085,0.100496,0.114830,0.001263
13,0.036111,,,,,,,
14,0.038889,,,,,,,
15,0.041667,,,,,,,
16,0.044444,-47.575085,21.056040,-67.335571,2.728323,0.100512,0.114813,0.001071
17,0.047222,,,,,,,
18,0.050000,,,,,,,
19,0.052778,,,,,,,
20,0.055556,,,,,,,
21,0.058333,,,,,,,
22,0.061111,,,,,,,
23,0.063889,,,,,,,
24,0.066667,,,,,,,
25,0.069444,-45.506908,23.552927,-68.934258,2.726213,0.099725,0.111796,0.001536
26,0.072222,,,,,,,
27,0.075000,,,,,,,
28,0.077778,,,,,,,
29,0.080556,,,,,,,
30,0.083333,,,,,,,
31,0.086111,,,,,,,
32,0.088889,-45.643917,23.719561,-69.056755,2.726434,0.100026,0.111840,0.001485
33,0.091667,,,,,,,
34,0.094444,,,,,,,
35,0.097222,,,,,,,
36,0.100000,,,,,,,
37,0.102778,,,,,,,
38,0.105556,,,,,,,
39,0.108333,-46.275692,21.187794,-68.408974,2.730180,0.102371,0.113448,0.001316
40,0.111111,,,,,,,
41,0.113889,,,,,,,
42,0.116667,,,,,,,
43,0.119444,,,,,,,
44,0.122222,,,,,,,
45,0.125000,,,,,,,
46,0.127778,,,,,,,
47,0.130556,,,,,,,
48,0.133333,-45.913506,21.161612,-68.440956,2.730200,0.103034,0.113171,0.001330
49,0.136111,,,,,,,
50,0.138889,,,,,,,
51,0.141667,,,,,,,
52,0.144444,,,,,,,
53,0.147222,,,,,,,
54,0.150000,,,,,,,
55,0.152778,,,,,,,
56,0.155556,,,,,,,
57,0.158333,,,,,,,
58,0.161111,-47.101837,21.313072,-68.170753,2.729868,0.102045,0.113927,0.001078
59,0.163889,,,,,,,
60,0.166667,,,,,,,
61,0.169444,,,,,,,
62,0.172222,,,,,,,
63,0.175000,,,,,,,
64,0.177778,,,,,,,
65,0.180556,,,,,,,
66,0.183333,,,,,,,
67,0.186111,,,,,,,
68,0.188889,,,,,,,
69,0.191667,-47.436813,21.999144,-67.360115,2.728183,0.101982,0.113425,0.000940
70,0.194444,,,,,,,
71,0.197222,,,,,,,
72,0.200000,,,,,,,
73,0.202778,,,,,,,
74,0.205556,,,,,,,
75,0.208333,,,,,,,
76,0.211111,,,,,,,
77,0.213889,,,,,,,
78,0.216667,,,,,,,
79,0.219444,,,,,,,
80,0.222222,,,,,,,
81,0.225000,,,,,,,
82,0.227778,,,,,,,
83,0.230556,,,,,,,
84,0.233333,,,,,,,
85,0.236111,,,,,,,
86,0.238889,,,,,,,
87,0.241667,-47.168118,21.393551,-66.920486,2.727327,0.102246,0.114754,0.000972
88,0.244444,,,,,,,
89,0.247222,,,,,,,
90,0.250000,,,,,,,
91,0.252778,-46.776550,21.723515,-66.913651,2.726641,0.102532,0.115363,0.000960
92,0.255556,,,,,,,
93,0.258333,-46.625935,21.692724,-66.904022,2.726499,0.102484,0.115520,0.000947
94,0.261111,,,,,,,
95,0.263889,-46.528191,21.658396,-66.826622,2.726323,0.102555,0.115789,0.000952
96,0.266667,-46.482903,21.635509,-66.762772,2.726154,0.102579,0.115804,0.000986
97,0.269444,,,,,,,
98,0.272222,-46.244099,21.362839,-66.673340,2.725999,0.102705,0.116371,0.001055
99,0.275000,,,,,,,
100,0.277778,-46.368935,21.651896,-66.640152,2.725827,0.102580,0.116951,0.001154
101,0.280556,,,,,,,
102,0.283333,-46.430958,21.031513,-66.616127,2.725806,0.102050,0.117366,0.000930
103,0.286111,,,,,,,
104,0.288889,-46.283134,20.978172,-66.540039,2.725585,0.102069,0.117588,0.000967
105,0.291667,,,,,,,
106,0.294444,-45.868000,21.127155,-66.396294,2.725123,0.102583,0.116790,0.000855
107,0.297222,,,,,,,
108,0.300000,,,,,,,
109,0.302778,,,,,,,
110,0.305556,,,,,,,
111,0.308333,,,,,,,
112,0.311111,,,,,,,
113,0.313889,,,,,,,
114,0.316667,,,,,,,
115,0.319444,,,,,,,
116,0.322222,,,,,,,
117,0.325000,,,,,,,
118,0.327778,,,,,,,
119,0.330556,,,,,,,
120,0.333333,,,,,,,
121,0.336111,,,,,,,
122,0.338889,,,,,,,
123,0.341667,-44.640507,20.348866,-65.216682,2.722138,0.102565,0.118756,0.001056
124,0.344444,,,,,,,
125,0.347222,-45.508305,19.550640,-65.728523,2.722608,0.101666,0.121097,0.001144
126,0.350000,,,,,,,
127,0.352778,,,,,,,
128,0.355556,,,,,,,
129,0.358333,,,,,,,
130,0.361111,,,,,,,
131,0.363889,,,,,,,
132,0.366667,,,,,,,
133,0.369444,,,,,,,
134,0.372222,,,,,,,
135,0.375000,-43.526051,19.630598,-64.527603,2.719901,0.102100,0.120687,0.001234
136,0.377778,,,,,,,
137,0.380556,-45.631653,17.925165,-64.678764,2.721606,0.099470,0.121642,0.001283
138,0.383333,,,,,,,
139,0.386111,,,,,,,
140,0.388889,,,,,,,
141,0.391667,,,,,,,
142,0.394444,,,,,,,
143,0.397222,,,,,,,
144,0.400000,,,,,,,
145,0.402778,,,,,,,
146,0.405556,,,,,,,
147,0.408333,-43.229687,18.362825,-63.459057,2.717340,0.102353,0.122933,0.001275
148,0.411111,,,,,,,
149,0.413889,,,,,,,
150,0.416667,,,,,,,
151,0.419444,,,,,,,
152,0.422222,,,,,,,
