Format Version,1.23,Take Name,TopSide_c_003,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-12 02.47.46.965 PM,Capture Start Frame,2233209,Total Frames in Take,1292,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,
0,0.000000,,,,,,,
1,0.002778,,,,,,,
2,0.005556,,,,,,,
3,0.008333,,,,,,,
4,0.011111,,,,,,,
5,0.013889,-74.454521,45.369747,-56.617920,2.431277,0.108384,0.053827,0.000921
6,0.016667,,,,,,,
7,0.019444,-75.065216,46.177429,-56.067211,2.430168,0.107937,0.054304,0.000931
8,0.022222,,,,,,,
9,0.025000,-74.371880,45.700405,-56.362427,2.430635,0.108075,0.054569,0.000929
10,0.027778,-73.930794,44.784813,-56.467957,2.431200,0.108425,0.054804,0.000884
11,0.030556,,,,,,,
12,0.033333,,,,,,,
13,0.036111,-73.254478,44.736485,-56.387112,2.431194,0.107883,0.055416,0.000660
14,0.038889,-73.038094,45.004444,-56.633953,2.430841,0.107715,0.055765,0.000803
15,0.041667,,,,,,,
16,0.044444,-72.987663,44.944241,-56.538361,2.430784,0.107989,0.056137,0.000509
17,0.047222,-72.831749,44.971558,-56.545612,2.430735,0.107946,0.056346,0.000845
18,0.050000,-72.680473,44.952496,-56.533363,2.430666,0.107943,0.056450,0.000847
19,0.052778,-72.584015,44.877060,-56.496643,2.430670,0.107932,0.056625,0.000840
20,0.055556,-72.563499,45.069851,-56.513142,2.430669,0.107953,0.056817,0.000702
21,0.058333,,,,,,,
22,0.061111,-72.328201,45.065922,-56.495850,2.430543,0.107930,0.057206,0.000676
23,0.063889,-72.182350,45.046379,-56.606361,2.430595,0.107887,0.057576,0.000797
24,0.066667,-72.096230,45.041481,-56.588406,2.430560,0.107873,0.057825,0.000792
25,0.069444,-71.996719,45.007305,-56.566807,2.430535,0.107888,0.058028,0.000796
26,0.072222,-71.931671,45.022495,-56.567570,2.430509,0.107862,0.058326,0.000683
27,0.075000,,,,,,,
28,0.077778,-71.820587,45.005959,-56.542389,2.430444,0.107857,0.058905,0.000679
29,0.080556,-71.659760,44.890575,-56.511379,2.430372,0.107957,0.059085,0.000772
30,0.083333,-71.677231,44.941753,-56.487251,2.430351,0.107979,0.059392,0.000584
31,0.086111,-71.527275,44.887611,-56.548798,2.430366,0.107766,0.059770,0.000757
32,0.088889,-71.395630,44.892620,-56.555046,2.430291,0.107810,0.059991,0.000805
33,0.091667,-71.421135,44.890118,-56.446350,2.430112,0.107775,0.060374,0.000843
34,0.094444,,,,,,,
35,0.097222,,,,,,,
36,0.100000,,,,,,,
37,0.102778,-70.851959,45.044598,-56.289268,2.430003,0.108038,0.060385,0.000819
38,0.105556,,,,,,,
39,0.108333,-71.076294,44.337368,-55.866436,2.430245,0.108761,0.060779,0.000552
40,0.111111,,,,,,,
41,0.113889,-70.206993,44.530933,-56.310688,2.429817,0.107980,0.061505,0.000876
42,0.116667,,,,,,,
43,0.119444,-70.132706,44.600048,-56.259205,2.429724,0.107937,0.061891,0.000768
44,0.122222,,,,,,,
45,0.125000,,,,,,,
46,0.127778,,,,,,,
47,0.130556,-69.828575,44.573002,-56.360508,2.429673,0.107830,0.062885,0.000617
48,0.133333,,,,,,,
49,0.136111,-69.630234,44.618515,-56.327572,2.429516,0.107920,0.063214,0.000702
50,0.138889,-69.506042,44.611755,-56.306953,2.429494,0.107917,0.063417,0.000783
51,0.141667,,,,,,,
52,0.144444,-69.173691,44.529076,-56.231564,2.429321,0.107880,0.063756,0.000687
53,0.147222,,,,,,,
54,0.150000,,,,,,,
55,0.152778,,,,,,,
56,0.155556,,,,,,,
57,0.158333,-68.644936,44.363453,-56.146458,2.429132,0.107959,0.064873,0.000813
58,0.161111,-68.597252,44.349476,-56.133755,2.429082,0.107980,0.064973,0.000766
59,0.163889,,,,,,,
60,0.166667,-68.395844,44.314445,-56.111057,2.428984,0.108043,0.065374,0.000779
61,0.169444,,,,,,,
62,0.172222,,,,,,,
63,0.175000,-68.290802,44.142879,-55.905369,2.428960,0.108210,0.065882,0.000517
64,0.177778,,,,,,,
65,0.180556,-68.122063,44.115307,-55.887817,2.428899,0.108192,0.066301,0.000460
66,0.183333,,,,,,,
67,0.186111,,,,,,,
68,0.188889,-67.758179,44.093502,-55.903732,2.428736,0.108123,0.066931,0.000892
69,0.191667,-67.624954,44.039547,-55.877281,2.428645,0.108086,0.067256,0.000867
70,0.194444,-67.530518,43.982910,-55.831051,2.428679,0.108067,0.067378,0.000687
71,0.197222,,,,,,,
72,0.200000,-67.211983,44.306702,-55.828629,2.428322,0.108160,0.067356,0.000899
73,0.202778,-67.009590,44.253136,-55.846645,2.428179,0.108167,0.067687,0.000820
74,0.205556,,,,,,,
75,0.208333,-66.766235,44.244232,-55.859711,2.428089,0.108164,0.068143,0.000823
76,0.211111,,,,,,,
77,0.213889,-66.474213,44.358543,-55.858177,2.427830,0.108171,0.068129,0.000722
78,0.216667,,,,,,,
79,0.219444,,,,,,,
80,0.222222,-66.268616,44.276592,-55.803448,2.427904,0.108021,0.068877,0.000839
81,0.225000,,,,,,,
82,0.227778,,,,,,,
83,0.230556,,,,,,,
84,0.233333,-65.940071,44.396095,-55.777515,2.427615,0.107976,0.069762,0.000757
85,0.236111,,,,,,,
86,0.238889,,,,,,,
87,0.241667,-65.880890,43.826698,-55.432907,2.427833,0.108276,0.070671,0.000827
88,0.244444,,,,,,,
89,0.247222,,,,,,,
90,0.250000,-65.376266,44.094929,-55.569584,2.427549,0.108188,0.070795,0.000966
91,0.252778,,,,,,,
92,0.255556,,,,,,,
93,0.258333,-64.543709,44.268105,-55.893635,2.426991,0.107747,0.071103,0.000566
94,0.261111,,,,,,,
95,0.263889,,,,,,,
96,0.266667,,,,,,,
97,0.269444,,,,,,,
98,0.272222,,,,,,,
99,0.275000,,,,,,,
100,0.277778,,,,,,,
101,0.280556,,,,,,,
102,0.283333,,,,,,,
103,0.286111,,,,,,,
