Format Version,1.23,Take Name,TopSide_d_003,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-12 02.47.57.942 PM,Capture Start Frame,2237160,Total Frames in Take,1212,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,
0,0.000000,,,,,,,
1,0.002778,-100.129517,-44.363689,10.610287,3.069669,0.106645,0.236475,0.001422
2,0.005556,,,,,,,
3,0.008333,,,,,,,
4,0.011111,-100.373589,-44.442013,10.544200,3.069525,0.106724,0.235976,0.001360
5,0.013889,,,,,,,
6,0.016667,-99.338600,-43.663269,9.315837,3.068403,0.106131,0.232774,0.001230
7,0.019444,,,,,,,
8,0.022222,-101.571404,-45.218838,8.886701,3.069083,0.105751,0.233638,0.001224
9,0.025000,,,,,,,
10,0.027778,,,,,,,
11,0.030556,-101.803139,-45.304485,8.842772,3.069162,0.105774,0.233234,0.001203
12,0.033333,,,,,,,
13,0.036111,-101.796005,-45.180019,8.900631,3.069067,0.105988,0.233161,0.001233
14,0.038889,,,,,,,
15,0.041667,,,,,,,
16,0.044444,-101.728180,-45.112652,8.979928,3.069132,0.106077,0.232880,0.001222
17,0.047222,,,,,,,
18,0.050000,,,,,,,
19,0.052778,-101.787628,-44.929169,9.098231,3.069087,0.106152,0.232969,0.001186
20,0.055556,,,,,,,
21,0.058333,,,,,,,
22,0.061111,,,,,,,
23,0.063889,-101.875458,-44.972340,9.121614,3.069607,0.105999,0.233085,0.001180
24,0.066667,,,,,,,
25,0.069444,,,,,,,
26,0.072222,-101.729950,-44.771500,9.274207,3.069796,0.106055,0.233191,0.001248
27,0.075000,,,,,,,
28,0.077778,,,,,,,
29,0.080556,,,,,,,
30,0.083333,,,,,,,
31,0.086111,,,,,,,
32,0.088889,,,,,,,
33,0.091667,,,,,,,
34,0.094444,,,,,,,
35,0.097222,-100.793816,-42.818707,9.788222,3.070000,0.108164,0.233968,0.001147
36,0.100000,,,,,,,
37,0.102778,,,,,,,
38,0.105556,,,,,,,
39,0.108333,,,,,,,
40,0.111111,,,,,,,
41,0.113889,,,,,,,
42,0.116667,,,,,,,
43,0.119444,-99.902626,-43.015854,10.311896,3.072128,0.107084,0.234802,0.001801
44,0.122222,,,,,,,
45,0.125000,,,,,,,
46,0.127778,,,,,,,
47,0.130556,-99.783112,-42.620071,10.678967,3.072662,0.107068,0.235731,0.001832
48,0.133333,,,,,,,
49,0.136111,-97.615860,-41.334343,10.263078,3.072709,0.105973,0.233494,0.001195
50,0.138889,,,,,,,
51,0.141667,,,,,,,
52,0.144444,,,,,,,
53,0.147222,-97.332008,-40.916492,10.350007,3.073284,0.105911,0.233725,0.001264
54,0.150000,,,,,,,
55,0.152778,-97.196335,-40.682343,10.476437,3.073521,0.105910,0.233875,0.001283
56,0.155556,,,,,,,
57,0.158333,,,,,,,
58,0.161111,,,,,,,
59,0.163889,-96.938461,-40.480049,10.686028,3.074412,0.105985,0.233778,0.001309
60,0.166667,,,,,,,
61,0.169444,,,,,,,
62,0.172222,,,,,,,
63,0.175000,-96.881477,-40.380272,10.876900,3.075140,0.106150,0.233654,0.001200
64,0.177778,,,,,,,
65,0.180556,,,,,,,
66,0.183333,,,,,,,
67,0.186111,,,,,,,
68,0.188889,-97.064026,-40.183693,10.830879,3.075779,0.106205,0.233269,0.001129
69,0.191667,,,,,,,
70,0.194444,,,,,,,
71,0.197222,-97.308594,-40.101482,10.782248,3.076217,0.105767,0.233325,0.001114
72,0.200000,,,,,,,
73,0.202778,,,,,,,
74,0.205556,-99.202156,-42.384140,9.112919,3.079077,0.108012,0.232374,0.001094
75,0.208333,,,,,,,
76,0.211111,,,,,,,
77,0.213889,,,,,,,
78,0.216667,-98.328476,-42.503605,9.597708,3.078925,0.108573,0.230105,0.001564
79,0.219444,,,,,,,
80,0.222222,,,,,,,
81,0.225000,-98.817352,-39.964199,10.220668,3.075720,0.106119,0.231633,0.001964
82,0.227778,,,,,,,
83,0.230556,,,,,,,
84,0.233333,-99.607323,-40.218536,10.128865,3.075402,0.106084,0.231459,0.001944
85,0.236111,,,,,,,
86,0.238889,-100.560768,-43.208504,8.654095,3.078891,0.107734,0.228834,0.001408
87,0.241667,-100.699020,-43.216591,8.566508,3.078618,0.107791,0.228532,0.001430
88,0.244444,,,,,,,
89,0.247222,-100.943733,-40.732182,9.973237,3.074348,0.105942,0.231115,0.001984
90,0.250000,,,,,,,
91,0.252778,-101.321655,-40.990257,9.867058,3.073893,0.105915,0.230735,0.002009
92,0.255556,,,,,,,
93,0.258333,-101.524094,-41.277966,9.721475,3.073375,0.105894,0.230149,0.002019
94,0.261111,,,,,,,
95,0.263889,-101.543137,-41.541874,9.508650,3.072792,0.105882,0.229304,0.001953
96,0.266667,-101.549240,-41.764957,9.422042,3.072520,0.105950,0.228807,0.001899
97,0.269444,,,,,,,
98,0.272222,-101.386894,-41.936878,9.255524,3.071798,0.105826,0.227998,0.001852
99,0.275000,,,,,,,
100,0.277778,-102.516312,-43.254471,10.369070,3.072059,0.106360,0.230211,0.001547
101,0.280556,,,,,,,
102,0.283333,,,,,,,
103,0.286111,,,,,,,
104,0.288889,-101.619888,-46.026676,8.142921,3.071372,0.107980,0.225117,0.001763
105,0.291667,,,,,,,
106,0.294444,,,,,,,
107,0.297222,-105.219360,-45.937103,8.332441,3.067482,0.105082,0.229630,0.000884
108,0.300000,,,,,,,
109,0.302778,,,,,,,
110,0.305556,-104.594017,-47.193462,6.645572,3.067178,0.106088,0.226187,0.000965
111,0.308333,,,,,,,
112,0.311111,,,,,,,
113,0.313889,-104.330147,-48.692963,6.585503,3.065245,0.106620,0.225628,0.000835
114,0.316667,,,,,,,
115,0.319444,,,,,,,
116,0.322222,,,,,,,
117,0.325000,,,,,,,
118,0.327778,,,,,,,
119,0.330556,,,,,,,
120,0.333333,-104.934479,-50.680561,7.928828,3.057313,0.106656,0.228925,0.001603
