Format Version,1.23,Take Name,BotSide_a_004,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-12 02.55.13.850 PM,Capture Start Frame,2394085,Total Frames in Take,1106,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,
0,0.000000,,,,,,,
1,0.002778,,,,,,,
2,0.005556,170.447723,6.950698,106.538498,3.711857,0.102264,0.133228,0.000955
3,0.008333,,,,,,,
4,0.011111,,,,,,,
5,0.013889,,,,,,,
6,0.016667,170.844833,7.595830,104.690872,3.710156,0.103104,0.134101,0.000999
7,0.019444,170.871384,7.705760,104.470467,3.709375,0.103024,0.134391,0.000972
8,0.022222,171.050186,7.844453,103.897598,3.708825,0.103539,0.134454,0.000928
9,0.025000,171.057205,7.720031,104.042625,3.707923,0.103244,0.134463,0.001026
10,0.027778,171.173141,7.827275,103.601807,3.707227,0.103433,0.134534,0.001081
11,0.030556,,,,,,,
12,0.033333,,,,,,,
13,0.036111,171.307159,8.190964,102.082153,3.704906,0.103263,0.134690,0.001055
14,0.038889,,,,,,,
15,0.041667,171.385696,8.439672,100.929390,3.702924,0.103417,0.134983,0.001009
16,0.044444,,,,,,,
17,0.047222,,,,,,,
18,0.050000,172.187393,8.703684,99.778481,3.699920,0.104580,0.134815,0.001011
19,0.052778,172.146469,9.140148,98.993546,3.698731,0.105173,0.135407,0.001116
20,0.055556,,,,,,,
21,0.058333,,,,,,,
22,0.061111,171.956451,9.587034,97.376137,3.695127,0.106015,0.135431,0.000892
23,0.063889,172.571503,9.826879,96.225830,3.693967,0.105920,0.135577,0.000997
24,0.066667,172.696854,9.930644,95.476746,3.692720,0.106053,0.135592,0.000899
25,0.069444,172.723465,9.898377,95.012253,3.691438,0.106399,0.135172,0.000839
26,0.072222,172.328247,10.265696,94.423378,3.689835,0.107185,0.135572,0.000899
27,0.075000,172.933609,10.421162,93.210297,3.688724,0.106808,0.135631,0.000828
28,0.077778,172.957458,10.587173,92.695854,3.687172,0.107282,0.135348,0.000846
29,0.080556,173.313232,10.703813,91.707092,3.685943,0.107695,0.135198,0.000947
30,0.083333,173.287598,11.123922,90.430267,3.684593,0.107047,0.135260,0.001172
31,0.086111,,,,,,,
32,0.088889,173.483109,11.142608,89.205917,3.681438,0.108414,0.135099,0.000932
33,0.091667,173.754501,11.290737,88.181541,3.679999,0.108034,0.135202,0.000992
34,0.094444,173.949631,11.127438,87.435646,3.678225,0.108382,0.134729,0.001044
35,0.097222,173.650055,11.603878,86.409294,3.676636,0.108792,0.135043,0.000938
36,0.100000,173.890228,11.643836,85.690048,3.675137,0.109074,0.134824,0.000836
37,0.102778,174.220444,11.496663,84.905685,3.673242,0.109018,0.134419,0.001059
38,0.105556,174.076187,11.864123,83.857658,3.671888,0.109544,0.134392,0.001163
39,0.108333,,,,,,,
40,0.111111,174.243103,12.058420,82.180191,3.668601,0.110038,0.134124,0.000912
41,0.113889,174.315643,12.407911,81.104698,3.666964,0.110169,0.133792,0.000960
42,0.116667,174.549393,12.116512,80.596436,3.665082,0.110574,0.133709,0.001102
43,0.119444,174.565369,12.357042,79.581184,3.663548,0.111010,0.133680,0.001090
44,0.122222,174.528214,12.649593,78.383377,3.662107,0.110689,0.133380,0.001039
45,0.125000,174.779922,12.605920,77.686203,3.660531,0.110671,0.133165,0.001135
46,0.127778,174.857895,12.696578,76.911606,3.658883,0.111207,0.133205,0.001087
47,0.130556,175.009293,12.800676,76.016457,3.657210,0.111525,0.133185,0.001069
48,0.133333,175.042786,12.723773,75.361290,3.655491,0.111449,0.133171,0.001126
49,0.136111,175.203903,12.864998,74.378433,3.654052,0.111320,0.132986,0.001029
50,0.138889,175.395599,12.829162,73.763405,3.652218,0.111501,0.132649,0.000841
51,0.141667,175.302032,13.796920,73.024124,3.649753,0.111637,0.132068,0.001279
52,0.144444,175.535110,13.188518,71.813461,3.649127,0.111639,0.132431,0.000927
53,0.147222,175.660507,13.361245,70.877396,3.647600,0.111257,0.132321,0.000873
54,0.150000,175.701004,13.569402,69.907684,3.645920,0.111258,0.132247,0.000884
55,0.152778,175.757935,13.745440,68.846252,3.644442,0.111563,0.132196,0.000996
56,0.155556,175.674423,13.760012,67.876701,3.642682,0.111128,0.132084,0.001007
57,0.158333,176.176727,13.787785,67.255058,3.641176,0.111361,0.131851,0.000821
58,0.161111,176.290466,14.025971,66.225716,3.639681,0.111514,0.131632,0.000562
59,0.163889,176.096985,13.713824,65.948418,3.638020,0.111783,0.132276,0.000896
60,0.166667,176.439194,13.696918,65.236610,3.636469,0.111517,0.131816,0.000964
61,0.169444,176.764114,13.869829,64.345451,3.634712,0.111461,0.131822,0.001177
62,0.172222,176.728348,14.192320,62.573830,3.633135,0.111100,0.131415,0.000977
63,0.175000,176.957520,14.031116,62.297447,3.631371,0.111757,0.131625,0.001111
64,0.177778,177.290039,13.970165,61.721550,3.629846,0.111462,0.131433,0.001102
65,0.180556,177.872864,13.922592,60.887543,3.628018,0.111473,0.130827,0.001291
66,0.183333,,,,,,,
67,0.186111,177.326492,14.387717,58.684513,3.624809,0.110955,0.131574,0.001273
68,0.188889,177.934647,14.249594,58.092098,3.622982,0.111061,0.131326,0.001293
69,0.191667,178.189926,14.391483,57.194748,3.621511,0.111073,0.130713,0.001118
70,0.194444,178.225525,14.391295,56.446861,3.620068,0.111296,0.130989,0.001620
71,0.197222,178.119812,14.400952,55.470898,3.618109,0.111065,0.131512,0.001149
72,0.200000,,,,,,,
73,0.202778,178.433716,14.587698,53.580570,3.615182,0.111806,0.130811,0.001302
74,0.205556,178.600143,14.672050,52.349010,3.613488,0.111090,0.131119,0.001155
75,0.208333,178.871796,14.714316,51.321079,3.611773,0.110766,0.130797,0.001249
76,0.211111,179.037888,14.783250,50.753342,3.610338,0.111441,0.130570,0.001165
77,0.213889,,,,,,,
78,0.216667,179.506744,15.095798,48.406158,3.607341,0.110503,0.130726,0.001192
