Format Version,1.23,Take Name,LeftSide_c_003,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-12 02.43.37.800 PM,Capture Start Frame,2143509,Total Frames in Take,1152,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,
0,0.000000,7.831984,-11.321225,14.954942,3.068890,0.105704,1.864489,0.000947
1,0.002778,7.949513,-11.356236,15.025812,3.068727,0.105535,1.864410,0.000864
2,0.005556,7.847069,-11.323862,14.995240,3.068760,0.105577,1.864498,0.000867
3,0.008333,7.875896,-11.326477,15.017261,3.068773,0.105587,1.864477,0.000868
4,0.011111,7.919523,-11.351860,15.024184,3.068722,0.105550,1.864424,0.000847
5,0.013889,8.090199,-11.426660,15.043072,3.068517,0.105327,1.864270,0.000718
6,0.016667,8.100305,-11.416210,15.058570,3.068556,0.105349,1.864257,0.000710
7,0.019444,8.101503,-11.425465,15.037306,3.068496,0.105326,1.864246,0.000719
8,0.022222,8.039957,-11.409586,15.038162,3.068539,0.105395,1.864264,0.000790
9,0.025000,8.046611,-11.413431,15.043690,3.068567,0.105400,1.864246,0.000808
10,0.027778,8.066293,-11.398344,15.057359,3.068603,0.105401,1.864307,0.000847
11,0.030556,8.136750,-11.419147,15.050822,3.068516,0.105321,1.864226,0.000844
12,0.033333,8.120996,-11.418562,15.059871,3.068549,0.105335,1.864214,0.000827
13,0.036111,7.990055,-11.369946,15.031643,3.068697,0.105529,1.864385,0.000869
14,0.038889,8.113345,-11.412672,15.062342,3.068533,0.105327,1.864260,0.000716
15,0.041667,7.958187,-11.359400,15.047322,3.068729,0.105502,1.864419,0.000848
16,0.044444,8.015473,-11.377127,15.007791,3.068803,0.105595,1.864379,0.000918
17,0.047222,7.951066,-11.360410,14.998478,3.068810,0.105604,1.864424,0.000923
18,0.050000,8.125079,-11.425911,15.021196,3.068668,0.105480,1.864298,0.000907
19,0.052778,8.105870,-11.413063,15.022598,3.068677,0.105476,1.864315,0.000893
20,0.055556,7.944191,-11.361915,14.978003,3.068803,0.105615,1.864425,0.000927
21,0.058333,8.137465,-11.414866,15.005630,3.068661,0.105465,1.864294,0.000903
22,0.061111,8.065002,-11.404935,15.012471,3.068717,0.105508,1.864335,0.000902
23,0.063889,8.069662,-11.405041,14.990247,3.068687,0.105508,1.864334,0.000898
24,0.066667,8.159824,-11.429330,15.022726,3.068604,0.105374,1.864258,0.000869
25,0.069444,,,,,,,
26,0.072222,,,,,,,
27,0.075000,8.063032,-11.394174,15.012256,3.068738,0.105518,1.864349,0.000898
28,0.077778,8.099572,-11.418983,15.045411,3.068535,0.105337,1.864255,0.000817
29,0.080556,8.176369,-11.403234,15.083920,3.068629,0.105312,1.864152,0.000769
30,0.083333,8.174557,-11.408600,15.072452,3.068624,0.105325,1.864149,0.000781
31,0.086111,8.184996,-11.408594,15.082516,3.068655,0.105372,1.864109,0.000778
32,0.088889,8.125270,-11.424832,15.057195,3.068540,0.105354,1.864251,0.000846
33,0.091667,8.194939,-11.405216,15.109793,3.068677,0.105338,1.864117,0.000785
34,0.094444,8.161978,-11.418867,15.072018,3.068612,0.105353,1.864135,0.000790
35,0.097222,8.135358,-11.424190,15.032490,3.068554,0.105360,1.864176,0.000812
36,0.100000,8.183617,-11.434031,15.050995,3.068446,0.105264,1.864255,0.000840
37,0.102778,8.114495,-11.425191,15.045040,3.068499,0.105340,1.864247,0.000838
38,0.105556,8.100492,-11.421556,15.036472,3.068516,0.105351,1.864251,0.000825
39,0.108333,8.112333,-11.413545,15.057335,3.068589,0.105351,1.864207,0.000794
40,0.111111,8.175074,-11.403455,15.103104,3.068656,0.105341,1.864148,0.000784
41,0.113889,8.126811,-11.418158,15.074445,3.068597,0.105362,1.864195,0.000802
42,0.116667,8.113677,-11.423243,15.052317,3.068548,0.105359,1.864238,0.000827
43,0.119444,8.138607,-11.413984,15.078498,3.068621,0.105371,1.864163,0.000789
44,0.122222,8.005681,-11.386395,15.034254,3.068631,0.105463,1.864383,0.000847
45,0.125000,8.179197,-11.415620,15.076752,3.068607,0.105329,1.864114,0.000796
46,0.127778,8.127384,-11.420411,15.049494,3.068545,0.105335,1.864223,0.000825
47,0.130556,8.027671,-11.396710,15.049994,3.068633,0.105449,1.864337,0.000823
48,0.133333,8.143074,-11.421608,15.062929,3.068575,0.105352,1.864173,0.000819
49,0.136111,8.153022,-11.425045,15.059568,3.068613,0.105376,1.864139,0.000788
50,0.138889,8.106985,-11.422683,15.034414,3.068547,0.105376,1.864210,0.000816
51,0.141667,7.920575,-11.353213,15.028537,3.068739,0.105574,1.864448,0.000860
52,0.144444,8.100745,-11.425105,15.037356,3.068529,0.105362,1.864245,0.000817
53,0.147222,8.135088,-11.415784,15.058450,3.068568,0.105327,1.864189,0.000813
54,0.150000,8.121261,-11.421125,15.031617,3.068537,0.105355,1.864216,0.000821
55,0.152778,8.168287,-11.407557,15.090104,3.068637,0.105340,1.864144,0.000789
56,0.155556,8.102971,-11.416609,15.058393,3.068587,0.105364,1.864227,0.000792
57,0.158333,8.112240,-11.421228,15.053850,3.068549,0.105356,1.864205,0.000818
58,0.161111,8.121984,-11.422702,15.055620,3.068524,0.105322,1.864237,0.000835
59,0.163889,8.132596,-11.412001,15.067109,3.068597,0.105356,1.864165,0.000791
60,0.166667,8.146091,-11.412633,15.085969,3.068644,0.105350,1.864172,0.000797
61,0.169444,8.012185,-11.390277,15.036149,3.068653,0.105467,1.864349,0.000840
62,0.172222,8.130593,-11.427354,15.033788,3.068527,0.105352,1.864184,0.000829
63,0.175000,7.998555,-11.377675,15.042793,3.068687,0.105497,1.864372,0.000851
64,0.177778,8.206786,-11.414950,15.082997,3.068611,0.105294,1.864098,0.000793
65,0.180556,8.087327,-11.418388,15.052151,3.068577,0.105385,1.864248,0.000810
66,0.183333,8.014035,-11.378247,15.003343,3.068794,0.105581,1.864379,0.000908
67,0.186111,7.904697,-11.345230,14.971965,3.068854,0.105644,1.864446,0.000942
